,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,31.7,25.7,7,3.2,10.6,0.189,4.9,4.7
2,2,MEM,Ja Morant,Murray State,3,187,6016,3961,836,1337,0.474,0.327,0.754,32.2,21.2,4.5,7.1,13.7,0.109,1.9,5.9
3,3,NYK,RJ Barrett,Duke,3,198,6632,3469,1101,568,0.418,0.357,0.697,33.5,17.5,5.6,2.9,5.9,0.042,-2.2,-0.3
4,4,LAL,De'Andre Hunter,Virginia,3,139,4273,1831,572,224,0.434,0.359,0.785,30.7,13.2,4.1,1.6,2.9,0.033,-3.5,-1.6
5,5,CLE,Darius Garland,Vanderbilt,3,181,6044,3142,464,1141,0.443,0.378,0.876,33.4,17.4,2.6,6.3,6.2,0.05,-1.2,1.1
6,6,PHO,Jarrett Culver,Texas Tech,3,134,2343,890,364,167,0.401,0.283,0.497,17.5,6.6,2.7,1.2,-0.1,-0.002,-4.6,-1.5
7,7,CHI,Coby White,UNC,3,195,5505,2672,696,679,0.413,0.365,0.851,28.2,13.7,3.6,3.5,5.6,0.049,-2.5,-0.6
8,8,ATL,Jaxson Hayes,Texas,3,194,3442,1575,831,134,0.634,0.36,0.723,17.7,8.1,4.3,0.7,12.5,0.174,0.2,1.9
9,9,WAS,Rui Hachimura,Gonzaga,3,147,4184,1913,766,217,0.477,0.36,0.779,28.5,13,5.2,1.5,5.3,0.061,-2.8,-0.8
10,10,ATL,Cam Reddish,Duke,3,133,3313,1399,425,170,0.387,0.325,0.841,24.9,10.5,3.2,1.3,1,0.015,-3.1,-0.9
11,11,MIN,Cameron Johnson,UNC,3,183,4422,1899,659,254,0.44,0.39,0.843,24.2,10.4,3.6,1.4,10.9,0.118,1.1,3.5
12,12,CHO,P.J. Washington,Kentucky,3,187,5481,2202,1071,431,0.454,0.375,0.702,29.3,11.8,5.7,2.3,8,0.07,-0.9,1.6
13,13,MIA,Tyler Herro,Kentucky,3,175,5294,2925,821,568,0.44,0.385,0.851,30.3,16.7,4.7,3.2,7,0.064,-0.6,1.9
14,14,BOS,Romeo Langford,Indiana,3,98,1424,353,184,47,0.4,0.3,0.633,14.5,3.6,1.9,0.5,1.5,0.052,-2.9,-0.3
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,2,115,2882,954,528,219,0.39,0.326,0.81,25.1,8.3,4.6,1.9,3.5,0.058,-0.7,1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,158,3064,1467,415,347,0.387,0.329,0.726,19.4,9.3,2.6,2.2,0.6,0.009,-2.7,-0.5
18,18,IND,Goga Bitadze,,3,149,1761,752,433,115,0.477,0.254,0.707,11.8,5,2.9,0.8,4,0.109,-1.2,0.4
19,19,SAS,Luka Šamanić,,2,36,356,138,78,21,0.43,0.294,0.576,9.9,3.8,2.2,0.6,0.1,0.015,-4.8,-0.3
20,20,BOS,Matisse Thybulle,Washington,3,196,4270,939,382,217,0.45,0.324,0.657,21.8,4.8,1.9,1.1,8.8,0.099,1.1,3.3
21,21,OKC,Brandon Clarke,Gonzaga,3,181,3961,1976,1015,262,0.591,0.294,0.699,21.9,10.9,5.6,1.4,15.4,0.187,2.9,4.9
22,22,BOS,Grant Williams,Tennessee,3,209,4056,1133,630,210,0.449,0.369,0.775,19.4,5.4,3,1,7.7,0.091,-1.9,0.1
23,23,UTA,Darius Bazley,,3,185,4768,1841,1078,237,0.406,0.305,0.695,25.8,10,5.8,1.3,1.8,0.018,-2.7,-0.8
24,24,PHI,Ty Jerome,Virginia,3,112,1917,795,215,273,0.398,0.344,0.784,17.1,7.1,1.9,2.4,1.8,0.046,-1.9,0
25,25,POR,Nassir Little,UNC,3,138,2301,802,472,99,0.455,0.317,0.727,16.7,5.8,3.4,0.7,3.4,0.071,-2.3,-0.2
26,26,CLE,Dylan Windler,Belmont,2,81,972,271,196,67,0.412,0.32,0.8,12,3.3,2.4,0.8,1.3,0.063,-1.7,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,0.388,0.314,0.84,6.7,2.7,1.4,0.4,0.4,0.054,-3.1,-0.1
28,28,GSW,Jordan Poole,Michigan,3,184,4545,2520,470,537,0.416,0.341,0.885,24.7,13.7,2.6,2.9,6.7,0.071,-1.5,0.6
29,29,SAS,Keldon Johnson,Kentucky,3,161,4661,2313,926,294,0.478,0.385,0.753,29,14.4,5.8,1.8,9.3,0.095,-0.8,1.4
30,30,MIL,Kevin Porter Jr.,USC,3,137,3904,1878,528,649,0.424,0.352,0.686,28.5,13.7,3.9,4.7,1.1,0.014,-2.7,-0.7
31,31,BRK,Nic Claxton,Georgia,3,94,1755,688,474,87,0.646,0.167,0.539,18.7,7.3,5,0.9,5.8,0.159,0.3,1
32,32,PHO,KZ Okpala,Stanford,3,63,717,176,114,34,0.406,0.273,0.607,11.4,2.8,1.8,0.5,0.7,0.047,-5.3,-0.6
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,3,119,1091,379,331,66,0.527,0.146,0.608,9.2,3.2,2.8,0.6,1.2,0.052,-4.1,-0.6
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,0.326,0.355,1,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,3,171,3618,989,604,360,0.46,0.323,0.66,21.2,5.8,3.5,2.1,6,0.079,-1.2,0.7
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,3,169,2844,1277,744,118,0.692,0,0.657,16.8,7.6,4.4,0.7,11.3,0.19,1.1,2.3
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1
