,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3085,1552,509,214,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5,0.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,2,71,837,245,136,40,0.403,0.321,0.733,11.8,3.5,1.9,0.6,0.4,0.023,-5.5,-0.7
43,43,MIN,Jaylen Nowell,Washington,3,119,1885,963,231,211,0.446,0.345,0.811,15.8,8.1,1.9,1.8,3.7,0.093,-1,0.5
44,44,MIA,Bol Bol,Oregon,3,53,328,142,63,18,0.478,0.378,0.667,6.2,2.7,1.2,0.3,0.2,0.031,-3.1,-0.1
45,45,DET,Isaiah Roby,Nebraska,3,109,2384,987,560,178,0.495,0.365,0.708,21.9,9.1,5.1,1.6,4.1,0.083,-1.8,0.1
46,46,ORL,Talen Horton-Tucker,Iowa State,3,131,2896,1216,369,346,0.437,0.276,0.783,22.1,9.3,2.8,2.6,3.3,0.054,-2.3,-0.2
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,0.416,0.315,0.686,13.1,5,1.9,0.9,0.4,0.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,3,189,3942,1443,722,366,0.491,0.379,0.786,20.9,7.6,3.8,1.9,10,0.122,-0.6,1.4
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,3,118,2092,775,404,124,0.475,0.359,0.732,17.7,6.6,3.4,1.1,3.4,0.078,-2.8,-0.5
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,0.361,0.303,0.75,8.1,3.1,1,0.9,0.1,0.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1,0.07,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,
