,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
60,Jonathan Kuminga\kuminjo01,Oct 30 '21 GSW vs. OKC,19,1,70,1185,236,460,50,149,130,190,54,234,64,31,22,74,146,652,.513,.336,.684,16.9,9.3,3.3,0.9
61,Jock Landale\landajo01,Oct 20 '21 SAS vs. ORL,26,1,54,589,101,204,29,89,34,41,63,138,45,10,14,31,53,265,.495,.326,.829,10.9,4.9,2.6,0.8
62,Scottie Lewis\lewissc01,Dec 13 '21 CHO @ DAL,21,1,2,7,0,0,0,0,1,2,0,0,1,1,0,0,0,1,,,.500,3.5,0.5,0.0,0.5
63,Isaiah Livers\liveris01,Dec 16 '21 DET @ IND,23,1,19,383,41,90,27,64,12,14,15,57,21,13,7,15,37,121,.456,.422,.857,20.2,6.4,3.0,1.1
64,Gabriel Lundberg\lundbga01,Apr 3 '22 PHO @ OKC,27,1,4,44,5,19,3,8,0,0,2,7,11,3,0,3,7,13,.263,.375,,11.0,3.3,1.8,2.8
65,Sandro Mamukelashvili\mamuksa01,Oct 19 '21 MIL vs. BRK,22,1,41,407,57,115,22,52,18,22,35,82,22,9,9,15,28,154,.496,.423,.818,9.9,3.8,2.0,0.5
66,Tre Mann\manntr01,Oct 20 '21 OKC @ UTA,20,1,60,1367,231,588,98,272,65,82,25,171,91,47,12,71,102,625,.393,.360,.793,22.8,10.4,2.9,1.5
67,Miles McBride\mcbrimi01,Oct 22 '21 NYK @ ORL,21,1,40,372,32,108,17,68,8,12,4,42,41,14,1,5,45,89,.296,.250,.667,9.3,2.2,1.1,1.0
68,Mac McClung\mccluma01,Dec 29 '21 CHI vs. ATL,23,1,2,25,3,6,1,3,1,1,0,3,1,1,1,3,5,8,.500,.333,1.000,12.5,4.0,1.5,0.5
69,Cameron McGriff\mcgrica01,Dec 27 '21 POR vs. DAL,24,1,3,46,5,14,2,6,2,2,6,15,3,0,1,0,7,14,.357,.333,1.000,15.3,4.7,5.0,1.0
70,JaQuori McLaughlin\mclauja01,Nov 2 '21 DAL vs. MIA,24,1,4,11,0,2,0,1,0,0,0,0,2,0,0,0,1,0,.000,.000,,2.8,0.0,0.0,0.5
71,Davion Mitchell\mitchda01,Oct 20 '21 SAC @ POR,23,1,75,2076,352,843,101,320,56,85,33,166,313,55,24,114,141,861,.418,.316,.659,27.7,11.5,2.2,4.2
72,Evan Mobley\mobleev01,Oct 20 '21 CLE @ MEM,20,1,69,2331,422,830,23,92,167,252,143,570,174,56,115,133,147,1034,.508,.250,.663,33.8,15.0,8.3,2.5
73,Moses Moody\moodymo01,Oct 19 '21 GSW @ LAL,19,1,52,607,80,183,40,110,28,36,17,80,23,7,10,13,43,228,.437,.364,.778,11.7,4.4,1.5,0.4
74,Xavier Moon\moonxa01,Dec 27 '21 LAC vs. BRK,27,1,10,137,25,51,5,14,3,5,2,14,24,7,3,6,9,58,.490,.357,.600,13.7,5.8,1.4,2.4
75,Ade Murkey\murkead01,Dec 22 '21 SAC vs. LAC,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
76,Trey Murphy III\murphtr02,Oct 20 '21 NOP vs. PHI,21,1,62,864,109,277,71,186,45,51,47,147,38,23,7,16,60,334,.394,.382,.882,13.9,5.4,2.4,0.6
77,RJ Nembhard Jr.\nembhrj01,Oct 22 '21 CLE vs. CHO,22,1,14,63,6,18,0,2,3,4,3,7,12,1,0,3,2,15,.333,.000,.750,4.5,1.1,0.5,0.9
78,Daishen Nix\nixda01,Nov 29 '21 HOU vs. OKC,19,1,24,261,27,67,7,26,16,30,7,33,40,15,0,26,21,77,.403,.269,.533,10.9,3.2,1.4,1.7
79,Eugene Omoruyi\omorueu01,Oct 29 '21 DAL @ DEN,24,1,4,18,2,5,1,2,2,4,2,7,2,0,0,0,2,7,.400,.500,.500,4.5,1.8,1.8,0.5
80,Jaysean Paige\paigeja01,Jan 1 '22 DET vs. SAS,27,1,1,7,0,3,0,2,0,0,0,1,1,0,0,1,2,0,.000,.000,,7.0,0.0,1.0,1.0
81,Trayvon Palmer\palmetr01,Dec 29 '21 DET vs. NYK,27,1,1,17,0,1,0,0,0,0,0,2,0,0,0,1,2,0,.000,,,17.0,0.0,2.0,0.0
82,Kevin Pangos\pangoke01,Oct 22 '21 CLE vs. CHO,29,1,24,166,15,46,6,26,3,4,2,11,30,3,0,7,11,39,.326,.231,.750,6.9,1.6,0.5,1.3
