,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Lavoy Allen,Jan 7 '12 PHI vs. TOR,22,1,41,624,79,167,0,0,11,14,47,171,34,13,18,20,73,169,0.473,,0.786,15.2,4.1,4.2,0.8,allenla01
2,Gustavo Ayón,Jan 1 '12 NOH @ SAC,26,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,0.536,0,0.619,20.1,5.9,4.9,1.4,ayongu01
3,Keith Benson,Mar 24 '12 GSW vs. SAC,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,,,3,0,1,0,bensoke02
4,Bismack Biyombo,Dec 26 '11 CHA vs. MIL,19,1,63,1455,129,278,0,0,69,143,113,368,27,20,115,71,145,327,0.464,,0.483,23.1,5.2,5.8,0.4,biyombi01
5,MarShon Brooks,Dec 26 '11 NJN @ WAS,23,1,56,1648,274,640,47,150,113,148,70,200,131,52,15,118,116,708,0.428,0.313,0.764,29.4,12.6,3.6,2.3,brookma01
6,Alec Burks,Dec 27 '11 UTA @ LAL,20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,0.429,0.333,0.727,15.9,7.2,2.2,0.9,burksal01
7,Jimmy Butler,Jan 1 '12 CHI vs. MEM,22,1,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,0.405,0.182,0.768,8.5,2.6,1.3,0.3,butleji01
8,Derrick Byars,Apr 25 '12 SAS @ PHO,27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,0.273,0,1,18.5,5,5.5,0.5,byarsde01
9,Norris Cole,Dec 25 '11 MIA @ DAL,23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,0.393,0.276,0.776,19.4,6.8,1.4,2,coleno01
10,Eric Dawson,Feb 21 '12 SAS @ POR,27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,0.583,,0.5,9.8,3.8,2.5,0,dawsoer01
11,Justin Dentmon,Mar 24 '12 SAS @ NOH,26,1,6,91,10,28,2,14,4,6,0,8,10,2,0,7,10,26,0.357,0.143,0.667,15.2,4.3,1.3,1.7,dentmju01
12,Jerome Dyson,Apr 11 '12 NOH vs. SAC,24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,0.396,0.125,0.778,20,7.4,2.1,2,dysonje01
13,Kenneth Faried,Dec 28 '11 DEN vs. UTA,22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,0.586,,0.665,22.5,10.2,7.7,0.8,farieke01
14,Jeff Foote,Mar 9 '12 NOH @ DEN,24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,0.333,,,9.8,1,1.5,0,footeje01
15,Courtney Fortson,Jan 16 '12 LAC vs. NJN,23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,0.344,0.231,0.667,9.5,3.5,1.5,1,fortsco01
16,Jimmer Fredette,Dec 26 '11 SAC vs. LAL,22,1,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,0.386,0.361,0.833,18.6,7.6,1.2,1.8,fredeji01
17,Enes Freedom,Dec 27 '11 UTA @ LAL,19,1,66,874,117,236,0,1,70,105,107,278,8,18,23,54,87,304,0.496,0,0.667,13.2,4.6,4.2,0.1,kanteen01
18,Mickell Gladness,Dec 25 '11 MIA @ DAL,25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,0.424,,0.5,9.7,2.2,2.2,0.2,gladnmi01
19,Andrew Goudelock,Dec 25 '11 LAL vs. CHI,23,1,40,419,68,174,28,75,11,12,5,31,20,4,0,21,32,175,0.391,0.373,0.917,10.5,4.4,0.8,0.5,goudean01
20,Jordan Hamilton,Jan 25 '12 DEN @ SAC,21,1,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,0.432,0.362,0.4,9.9,4.4,2.4,0.8,hamiljo02
21,Justin Harper,Dec 26 '11 ORL vs. HOU,22,1,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,0.29,0.154,0,6,1.4,0.9,0.1,harpeju01
22,Josh Harrellson,Dec 25 '11 NYK vs. BOS,22,1,37,540,63,149,20,59,16,26,47,144,11,23,20,20,48,162,0.423,0.339,0.615,14.6,4.4,3.9,0.3,harrejo01
23,Terrel Harris,Dec 25 '11 MIA @ DAL,24,1,22,318,29,83,8,39,14,21,18,51,26,9,2,25,34,80,0.349,0.205,0.667,14.5,3.6,2.3,1.2,harrite01
24,Tobias Harris,Jan 7 '12 MIL @ LAC,19,1,42,479,79,169,6,23,44,54,30,101,22,13,7,31,45,208,0.467,0.261,0.815,11.4,5,2.4,0.5,harrito02
25,Cory Higgins,Jan 1 '12 CHA @ MIA,22,1,38,423,52,160,4,20,42,60,7,35,36,5,6,39,40,150,0.325,0.2,0.7,11.1,3.9,0.9,0.9,higgico01
26,Darington Hobson,Jan 7 '12 MIL @ LAC,24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,0.154,0,,7.8,0.8,0.6,1.2,hobsoda01
27,Tyler Honeycutt,Dec 31 '11 SAC vs. NYK,21,1,15,88,8,24,1,3,3,5,3,14,7,4,3,2,3,20,0.333,0.333,0.6,5.9,1.3,0.9,0.5,honeyty01
28,Dennis Horner,Dec 27 '11 NJN vs. ATL,23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,0.25,0,0.75,2.8,0.6,0.6,0,hornede01
29,Kyrie Irving,Dec 26 '11 CLE vs. TOR,19,1,51,1558,350,747,73,183,171,196,44,191,275,54,20,160,110,944,0.469,0.399,0.872,30.5,18.5,3.7,5.4,irvinky01
30,Reggie Jackson,Dec 31 '11 OKC vs. PHO,21,1,45,501,51,159,13,62,25,29,14,53,71,25,1,36,31,140,0.321,0.21,0.862,11.1,3.1,1.2,1.6,jacksre01
31,Charles Jenkins,Dec 25 '11 GSW vs. LAC,22,1,51,893,130,291,3,20,34,39,8,68,170,33,6,60,85,297,0.447,0.15,0.872,17.5,5.8,1.3,3.3,jenkich01
32,Carldell Johnson,Dec 26 '11 NOH @ PHO,29,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,0.314,0.267,0.333,7.9,1.8,0.6,1.5,johnsca01
33,Ivan Johnson,Dec 27 '11 ATL @ NJN,27,1,56,934,141,275,2,6,72,100,65,226,32,43,18,69,116,356,0.513,0.333,0.72,16.7,6.4,4,0.6,johnsiv01
34,JaJuan Johnson,Dec 28 '11 BOS @ NOH,22,1,36,298,54,121,0,0,6,9,20,58,6,5,14,14,25,114,0.446,,0.667,8.3,3.2,1.6,0.2,johnsja02
35,Jerome Jordan,Dec 28 '11 NYK @ GSW,25,1,21,108,17,33,0,0,8,10,14,27,4,1,6,2,15,42,0.515,,0.8,5.1,2,1.3,0.2,jordaje01
36,Cory Joseph,Dec 26 '11 SAS vs. MEM,20,1,29,266,22,70,3,15,11,17,5,25,34,7,3,12,16,58,0.314,0.2,0.647,9.2,2,0.9,1.2,josepco01
37,D.J. Kennedy,Apr 25 '12 CLE vs. WAS,22,1,2,59,5,12,2,4,0,2,1,7,3,2,0,3,7,12,0.417,0.5,0,29.5,6,3.5,1.5,kennedj01
38,Brandon Knight,Dec 26 '11 DET @ IND,20,1,66,2129,319,769,105,276,104,137,33,211,251,49,10,171,154,847,0.415,0.38,0.759,32.3,12.8,3.2,3.8,knighbr03
39,Malcolm Lee,Mar 10 '12 MIN vs. NOH,21,1,19,243,23,59,2,10,14,17,9,26,31,8,4,17,22,62,0.39,0.2,0.824,12.8,3.3,1.4,1.6,leema01
40,Kawhi Leonard,Dec 26 '11 SAS vs. MEM,20,1,64,1534,199,404,41,109,68,88,104,327,70,85,24,44,88,507,0.493,0.376,0.773,24,7.9,5.1,1.1,leonaka01
41,Travis Leslie,Dec 28 '11 LAC @ SAS,21,1,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,0.357,,0.444,4.5,1.4,0.9,0.5,leslitr01
42,Jon Leuer,Dec 26 '11 MIL @ CHA,22,1,46,555,97,191,3,9,21,28,45,120,25,14,17,18,67,218,0.508,0.333,0.75,12.1,4.7,2.6,0.5,leuerjo01
43,DeAndre Liggins,Feb 20 '12 ORL @ MIL,23,1,17,115,12,25,0,4,9,19,6,15,5,6,0,10,6,33,0.48,0,0.474,6.8,1.9,0.9,0.3,liggide01
44,Shelvin Mack,Dec 26 '11 WAS vs. NJN,21,1,64,779,88,220,12,42,42,59,12,92,131,28,2,48,50,230,0.4,0.286,0.712,12.2,3.6,1.4,2,macksh01
45,Vernon Macklin,Dec 28 '11 DET vs. CLE,25,1,23,135,19,35,0,0,8,14,14,34,5,4,4,3,9,46,0.543,,0.571,5.9,2,1.5,0.2,macklve01
46,E'Twaun Moore,Dec 25 '11 BOS @ NYK,22,1,38,331,43,113,17,45,7,7,4,33,34,11,3,21,33,110,0.381,0.378,1,8.7,2.9,0.9,0.9,mooreet01
47,Darius Morris,Jan 11 '12 LAL @ UTA,21,1,19,169,18,42,4,9,6,9,2,16,21,2,0,19,16,46,0.429,0.444,0.667,8.9,2.4,0.8,1.1,morrida01
48,Marcus Morris,Dec 26 '11 HOU @ ORL,22,1,17,126,16,54,2,17,6,8,5,16,3,2,2,4,12,40,0.296,0.118,0.75,7.4,2.4,0.9,0.2,morrima03
49,Markieff Morris,Dec 26 '11 PHO vs. NOH,22,1,63,1227,174,436,43,124,76,106,69,279,65,41,42,70,179,467,0.399,0.347,0.717,19.5,7.4,4.4,1,morrima02
50,Daniel Orton,Jan 27 '12 ORL @ NOH,21,1,16,187,17,30,0,1,11,25,19,39,5,8,9,7,30,45,0.567,0,0.44,11.7,2.8,2.4,0.3,ortonda01
51,Jeremy Pargo,Dec 26 '11 MEM @ SAS,25,1,44,424,50,150,10,38,16,27,12,37,55,15,0,46,46,126,0.333,0.263,0.593,9.6,2.9,0.8,1.3,pargoje01
52,Chandler Parsons,Dec 29 '11 HOU vs. SAS,23,1,63,1804,248,549,60,178,43,78,90,300,134,73,29,81,142,599,0.452,0.337,0.551,28.6,9.5,4.8,2.1,parsoch01
53,Ryan Reid,Feb 14 '12 OKC vs. UTA,25,1,5,17,4,5,0,0,0,0,1,2,0,0,0,1,1,8,0.8,,,3.4,1.6,0.4,0,reidry01
54,Ricky Rubio,Dec 26 '11 MIN vs. OKC,21,1,41,1404,139,389,32,94,126,157,21,171,336,91,8,131,97,436,0.357,0.34,0.803,34.2,10.6,4.2,8.2,rubiori01
55,Walker Russell,Jan 20 '12 DET vs. MEM,29,1,28,357,33,95,4,13,14,22,7,26,58,18,1,33,29,84,0.347,0.308,0.636,12.8,3,0.9,2.1,russewa02
56,Josh Selby,Dec 28 '11 MEM vs. OKC,20,1,28,237,25,72,2,15,11,14,2,15,30,7,0,29,17,63,0.347,0.133,0.786,8.5,2.3,0.5,1.1,selbyjo01
57,Iman Shumpert,Dec 25 '11 NYK vs. BOS,21,1,59,1705,214,534,48,157,87,109,42,186,164,101,8,111,173,563,0.401,0.306,0.798,28.9,9.5,3.2,2.8,shumpim01
58,Xavier Silas,Apr 25 '12 PHI @ MIL,24,1,2,39,4,15,1,6,2,3,2,4,3,0,0,3,5,11,0.267,0.167,0.667,19.5,5.5,2,1.5,silasxa01
59,Chris Singleton,Dec 26 '11 WAS vs. NJN,22,1,66,1431,116,312,44,127,30,44,43,233,49,70,30,38,176,306,0.372,0.346,0.682,21.7,4.6,3.5,0.7,singlch01
60,Donald Sloan,Jan 11 '12 ATL @ IND,24,1,33,669,79,198,2,25,23,30,18,67,105,13,3,49,37,183,0.399,0.08,0.767,20.3,5.5,2,3.2,sloando01
61,Greg Smith,Feb 19 '12 HOU vs. UTA,21,1,8,69,7,11,0,0,0,0,5,20,1,2,5,1,17,14,0.636,,,8.6,1.8,2.5,0.1,smithgr02
62,Jerry Smith,Mar 16 '12 NJN @ ORL,24,1,5,46,3,14,1,6,0,0,2,7,4,5,0,0,5,7,0.214,0.167,,9.2,1.4,1.4,0.8,smithje01
63,Nolan Smith,Dec 26 '11 POR vs. PHI,23,1,44,541,67,180,13,45,20,28,17,56,62,18,3,42,55,167,0.372,0.289,0.714,12.3,3.8,1.3,1.4,smithno01
64,Greg Stiemsma,Dec 28 '11 BOS @ NOH,26,1,55,766,66,121,0,0,29,41,48,177,28,37,85,33,144,161,0.545,,0.707,13.9,2.9,3.2,0.5,stiemgr01
65,Julyan Stone,Jan 11 '12 DEN vs. NJN,23,1,22,179,13,31,2,11,8,11,5,25,37,8,6,11,18,36,0.419,0.182,0.727,8.1,1.6,1.1,1.7,stoneju01
66,Isaiah Thomas,Dec 26 '11 SAC vs. LAL,22,1,65,1656,256,571,83,219,154,185,48,168,266,53,8,105,121,749,0.448,0.379,0.832,25.5,11.5,2.6,4.1,thomais02
67,Lance Thomas,Dec 28 '11 NOH vs. BOS,23,1,42,630,57,126,0,1,52,62,49,126,12,10,7,24,78,166,0.452,0,0.839,15,4,3,0.3,thomala01
68,Malcolm Thomas,Jan 13 '12 SAS vs. POR,23,1,3,15,0,3,0,0,1,2,1,3,1,1,1,0,0,1,0,,0.5,5,0.3,1,0.3,thomama01
69,Trey Thompkins,Dec 28 '11 LAC @ SAS,21,1,24,119,24,61,4,13,5,7,4,24,3,3,3,6,10,57,0.393,0.308,0.714,5,2.4,1,0.1,thomptr02
70,Klay Thompson,Dec 25 '11 GSW vs. LAC,21,1,66,1608,318,718,111,268,79,91,24,161,133,49,20,103,155,826,0.443,0.414,0.868,24.4,12.5,2.4,2,thompkl01
71,Mychel Thompson,Jan 4 '12 CLE @ TOR,23,1,5,95,7,24,4,11,0,0,0,5,7,2,1,5,8,18,0.292,0.364,,19,3.6,1,1.4,thompmy02
72,Tristan Thompson,Dec 26 '11 CLE vs. TOR,20,1,60,1424,194,442,0,2,106,192,187,389,27,27,62,81,134,494,0.439,0,0.552,23.7,8.2,6.5,0.5,thomptr01
73,Jeremy Tyler,Dec 25 '11 GSW vs. LAC,20,1,42,568,88,209,0,1,29,52,54,140,16,16,20,36,84,205,0.421,0,0.558,13.5,4.9,3.3,0.4,tylerje01
74,Edwin Ubiles,Mar 21 '12 WAS @ NJN,25,1,4,52,5,18,1,5,3,3,2,10,1,1,1,1,1,14,0.278,0.2,1,13,3.5,2.5,0.3,ubileed01
75,Jan Veselý,Jan 8 '12 WAS vs. MIN,21,1,57,1078,117,218,0,1,33,62,101,249,47,39,32,60,156,267,0.537,0,0.532,18.9,4.7,4.4,0.8,veselja01
76,Nikola Vučević,Dec 28 '11 PHI @ PHO,21,1,51,812,131,291,3,8,18,34,88,246,31,20,34,33,111,283,0.45,0.375,0.529,15.9,5.5,4.8,0.6,vucevni01
77,Kemba Walker,Dec 26 '11 CHA vs. MIL,21,1,66,1792,281,767,69,226,168,213,30,234,289,60,20,119,79,799,0.366,0.305,0.789,27.2,12.1,3.5,4.4,walkeke02
78,Derrick Williams,Dec 26 '11 MIN vs. OKC,20,1,66,1418,205,498,37,138,136,195,77,311,38,30,31,77,95,583,0.412,0.268,0.697,21.5,8.8,4.7,0.6,willide02
79,Elliot Williams,Dec 27 '11 POR vs. SAC,22,1,24,149,37,74,8,27,6,18,7,19,6,6,3,5,18,88,0.5,0.296,0.333,6.2,3.7,0.8,0.3,williel01
80,Jordan Williams,Jan 2 '12 NJN vs. IND,21,1,43,635,77,152,0,0,43,66,66,156,11,21,15,23,61,197,0.507,,0.652,14.8,4.6,3.6,0.3,willijo03
81,Chris Wright,Dec 31 '11 GSW vs. PHI,23,1,24,186,23,45,0,0,24,31,19,45,4,7,13,8,22,70,0.511,,0.774,7.8,2.9,1.9,0.2,wrighch01
