,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
15,15,POR,Justin Jackson,UNC,5,255,4779,1656,637,276,0.426,0.321,0.799,18.7,6.5,2.5,1.1,5.3,0.053,-2.8,-1
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,0.419,0.327,0.618,12.3,4.4,3.1,0.7,2.8,0.075,-2.6,-0.3
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,5,293,8488,4837,2441,455,0.559,0.376,0.779,29,16.5,8.3,1.6,28.1,0.159,1.5,7.4
20,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,0.511,0.258,0.671,12.9,5.9,3.8,1.2,3,0.079,-2.4,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1
22,22,BRK,Jarrett Allen,Texas,5,341,9062,3945,2964,467,0.626,0.189,0.699,26.6,11.6,8.7,1.4,34.9,0.185,1.7,8.5
23,23,TOR,OG Anunoby,Indiana,5,301,8060,3144,1246,429,0.47,0.372,0.709,26.8,10.4,4.1,1.4,17.6,0.105,0.1,4.3
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,0.521,0,0.586,15.8,5.6,3.9,0.7,0.4,0.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,5,342,10399,5336,2116,759,0.449,0.339,0.723,30.4,15.6,6.2,2.2,14.2,0.066,-1,2.7
28,28,LAL,Tony Bradley,UNC,5,167,1961,773,718,89,0.634,0.429,0.672,11.7,4.6,4.3,0.5,7.4,0.181,0.2,1.1
29,29,SAS,Derrick White,Colorado,5,263,6807,3027,864,1006,0.442,0.34,0.838,25.9,11.5,3.3,3.8,15.3,0.108,1.1,5.3
30,30,UTA,Josh Hart,Villanova,5,296,8071,2918,1701,614,0.45,0.347,0.739,27.3,9.9,5.7,2.1,15.7,0.094,-0.3,3.4
31,31,CHO,Frank Jackson,Duke,4,213,3868,1816,390,221,0.422,0.333,0.786,18.2,8.5,1.8,1,2.5,0.031,-3.9,-1.9
32,32,PHO,Davon Reed,Miami (FL),3,79,957,284,153,69,0.434,0.391,0.667,12.1,3.6,1.9,0.9,1.4,0.07,-2.1,0
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,0.384,0.344,0.717,14.5,3.4,2.2,0.4,5.2,0.061,-3.4,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5
42,42,UTA,Thomas Bryant,Indiana,5,170,3425,1733,971,219,0.59,0.35,0.764,20.1,10.2,5.7,1.3,11.6,0.163,1.5,3
43,43,HOU,Isaiah Hartenstein,,4,165,2262,959,650,248,0.6,0.383,0.682,13.7,5.8,3.9,1.5,8.5,0.181,1.9,2.2
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,5,272,7674,3955,829,546,0.421,0.348,0.799,28.2,14.5,3,2,5.3,0.033,-3.8,-3.5
46,46,PHI,Sterling Brown,SMU,5,264,4434,1431,883,266,0.42,0.364,0.796,16.8,5.4,3.3,1,6.5,0.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5
49,49,DEN,Vlatko Čančar,,3,70,502,164,91,34,0.484,0.333,0.742,7.2,2.3,1.3,0.5,0.8,0.075,-2.5,-0.1
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,5,280,7066,2947,655,1042,0.481,0.394,0.83,25.2,10.5,2.3,3.7,18.5,0.125,0.3,4.2
52,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,0.474,0.333,0.728,14.1,5.7,1.5,1.1,1.9,0.061,-3.2,-0.4
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0
57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
