,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,5,131,3251,1423,425,623,0.45,0.262,0.708,24.8,10.9,3.2,4.8,3.5,0.052,-2,0
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1,6.3
3,3,BOS,Jayson Tatum,Duke,5,365,12184,7640,2420,1106,0.456,0.383,0.844,33.4,20.9,6.6,3,35.1,0.138,2.8,14.8
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4,1.8,-1.7,-0.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,5,322,10325,6148,1138,2005,0.462,0.32,0.725,32.1,19.1,3.5,6.2,15.7,0.073,0.1,5.4
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2
7,7,MIN,Lauri Markkanen,Arizona,5,282,8389,4339,1904,354,0.441,0.364,0.85,29.7,15.4,6.8,1.3,16.6,0.095,-0.1,4
8,8,NYK,Frank Ntilikina,,5,269,4804,1395,495,631,0.371,0.331,0.775,17.9,5.2,1.8,2.3,0.6,0.006,-4.1,-2.5
9,9,DAL,Dennis Smith Jr.,NC State,5,216,5152,2317,636,917,0.402,0.312,0.652,23.9,10.7,2.9,4.2,-0.6,-0.005,-2.3,-0.4
10,10,SAC,Zach Collins,Gonzaga,4,182,3193,1099,767,200,0.452,0.327,0.743,17.5,6,4.2,1.1,5.1,0.077,-2.2,-0.2
11,11,CHO,Malik Monk,Kentucky,5,309,6298,3176,717,627,0.424,0.355,0.83,20.4,10.3,2.3,2,5.6,0.043,-1.9,0.1
12,12,DET,Luke Kennard,Duke,5,297,6973,2966,847,603,0.449,0.425,0.869,23.5,10,2.9,2,14.2,0.098,-0.3,3
13,13,DEN,Donovan Mitchell,Louisville,5,345,11637,8234,1433,1542,0.441,0.361,0.833,33.7,23.9,4.2,4.5,29,0.12,2.4,13.1
14,14,MIA,Bam Adebayo,Kentucky,5,343,9666,4617,2850,1189,0.558,0.14,0.741,28.2,13.5,8.3,3.5,35.4,0.176,3,12.1
