,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Cliff Alexander,Nov 15 '15 POR @ CHO,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,0.5,,,4.5,1.3,0.8,0,alexacl01
2,Justin Anderson,Oct 28 '15 DAL @ PHO,22,1,55,647,71,175,22,83,44,55,18,132,29,19,25,24,45,208,0.406,0.265,0.8,11.8,3.8,2.4,0.5,anderju01
3,Thanasis Antetokounmpo,Jan 29 '16 NYK vs. PHO,23,1,2,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6,0.75,0,,3,3,0.5,0,antetth01
4,Keith Appling,Jan 18 '16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,0.25,0,1,5.4,1.2,0.2,0.2,applike01
5,Nemanja Bjelica,Oct 28 '15 MIN @ LAL,27,1,60,1075,110,235,48,125,40,55,49,210,83,26,21,47,154,308,0.468,0.384,0.727,17.9,5.1,3.5,1.4,bjeline01
6,Devin Booker,Oct 28 '15 PHO vs. DAL,19,1,76,2108,367,867,99,289,215,256,27,187,200,44,20,160,225,1048,0.423,0.343,0.84,27.7,13.8,2.5,2.6,bookede01
7,Anthony Brown,Oct 30 '15 LAL @ SAC,23,1,29,599,39,126,20,70,17,20,9,70,19,14,5,15,34,115,0.31,0.286,0.85,20.7,4,2.4,0.7,brownan02
8,Willie Cauley-Stein,Oct 28 '15 SAC vs. LAC,22,1,66,1412,191,339,0,2,81,125,134,352,37,48,66,46,146,463,0.563,0,0.648,21.4,7,5.3,0.6,caulewi01
9,Rakeem Christmas,Apr 13 '16 IND @ MIL,24,1,1,6,2,2,0,0,0,0,1,1,0,0,0,0,1,4,1,,,6,4,1,0,chrisra01
