,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
10,Coty Clarke,Mar 15 '16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,0.5,1,,2,2,0.3,0,clarkco01
11,Pat Connaughton,Oct 30 '15 POR @ PHO,23,1,34,143,13,49,5,21,5,5,11,32,10,2,0,10,6,36,0.265,0.238,1,4.2,1.1,0.9,0.3,connapa01
12,Branden Dawson,Dec 28 '15 LAC @ WAS,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,0.4,,1,4.8,0.8,0.7,0,dawsobr01
13,Bryce Dejean-Jones,Jan 21 '16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,0.406,0.375,0.524,19.9,5.6,3.4,1.1,dejeabr01
14,Sam Dekker,Oct 28 '15 HOU vs. DEN,21,1,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,2,0,0.3,0,dekkesa01
15,Duje Dukan,Apr 13 '16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,0.2,0.4,,24,6,4,1,dukandu01
16,Jarell Eddie,Dec 26 '15 WAS @ BRK,24,1,26,147,20,65,15,47,8,8,2,23,5,5,1,1,5,63,0.308,0.319,1,5.7,2.4,0.9,0.2,eddieja01
17,Cristiano Felício,Nov 9 '15 CHI @ PHI,23,1,31,321,40,72,0,4,25,35,30,102,26,6,13,13,31,105,0.556,0,0.714,10.4,3.4,3.3,0.8,feliccr01
18,Jerian Grant,Oct 28 '15 NYK @ MIL,23,1,76,1265,154,391,22,100,96,123,23,143,177,50,10,87,97,426,0.394,0.22,0.78,16.6,5.6,1.9,2.3,grantje02
19,Montrezl Harrell,Oct 28 '15 HOU vs. DEN,22,1,39,379,58,90,0,1,24,46,25,65,17,11,11,17,48,140,0.644,0,0.522,9.7,3.6,1.7,0.4,harremo01
20,Aaron Harrison,Nov 20 '15 CHO vs. PHI,21,1,21,93,5,19,3,10,5,12,4,15,2,6,0,4,10,18,0.263,0.3,0.417,4.4,0.9,0.7,0.1,harriaa01
21,Mario Hezonja,Oct 28 '15 ORL vs. WAS,20,1,79,1413,181,418,67,192,49,54,28,176,109,39,17,97,124,478,0.433,0.349,0.907,17.9,6.1,2.2,1.4,hezonma01
22,Darrun Hilliard,Nov 23 '15 DET @ MIL,22,1,38,383,52,131,19,50,29,40,5,45,27,9,1,19,28,152,0.397,0.38,0.725,10.1,4,1.2,0.7,hillida01
23,Rondae Hollis-Jefferson,Oct 28 '15 BRK vs. CHI,21,1,29,615,63,138,4,14,37,52,39,154,43,39,16,26,61,167,0.457,0.286,0.712,21.2,5.8,5.3,1.5,holliro01
24,Richaun Holmes,Oct 28 '15 PHI @ BOS,22,1,51,702,114,222,8,44,51,74,62,135,33,19,40,32,92,287,0.514,0.182,0.689,13.8,5.6,2.6,0.6,holmeri01
25,Marcelo Huertas,Oct 28 '15 LAL vs. MIN,32,1,53,869,97,230,16,61,27,29,18,90,182,26,7,80,76,237,0.422,0.262,0.931,16.4,4.5,1.7,3.4,huertma01
26,Josh Huestis,Mar 24 '16 OKC vs. UTA,24,1,5,55,5,12,4,6,0,4,2,10,0,1,2,3,3,14,0.417,0.667,0,11,2.8,2,0,huestjo01
27,R.J. Hunter,Nov 4 '15 BOS @ IND,22,1,36,315,36,98,19,63,6,7,2,37,13,14,4,11,29,97,0.367,0.302,0.857,8.8,2.7,1,0.4,hunterj01
28,Damien Inglis,Oct 28 '15 MIL vs. NYK,20,1,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,0.351,0.231,0.875,7.8,1.8,1.6,0.5,inglida01
29,Stanley Johnson,Oct 27 '15 DET @ ATL,19,1,73,1687,225,600,63,205,80,102,58,306,118,55,12,114,178,593,0.375,0.307,0.784,23.1,8.1,4.2,1.6,johnsst04
30,Nikola Jokić,Oct 28 '15 DEN @ HOU,20,1,80,1733,307,600,28,84,154,190,181,560,189,79,50,104,208,796,0.512,0.333,0.811,21.7,10,7,2.4,jokicni01
31,Tyus Jones,Nov 10 '15 MIN vs. CHO,19,1,37,573,56,156,16,53,28,39,7,47,108,31,3,33,33,156,0.359,0.302,0.718,15.5,4.2,1.3,2.9,jonesty01
32,Frank Kaminsky,Oct 28 '15 CHO @ MIA,22,1,81,1708,215,525,68,202,108,148,69,335,98,38,43,58,126,606,0.41,0.337,0.73,21.1,7.5,4.1,1.2,kaminfr01
33,Sasha Kaun,Oct 28 '15 CLE @ MEM,30,1,25,95,9,17,0,0,5,11,12,26,3,4,5,7,11,23,0.529,,0.455,3.8,0.9,1,0.1,kaunsa01
34,Kevon Looney,Jan 27 '16 GSW vs. DAL,19,1,5,21,4,7,1,2,0,0,4,10,0,0,0,1,2,9,0.571,0.5,,4.2,1.8,2,0,looneke01
35,Trey Lyles,Oct 28 '15 UTA @ DET,20,1,80,1382,191,436,49,128,57,82,59,299,59,26,18,65,114,488,0.438,0.383,0.695,17.3,6.1,3.7,0.7,lylestr01
36,Boban Marjanović,Oct 30 '15 SAS vs. BRK,27,1,54,508,105,174,0,0,87,114,73,194,21,12,23,29,54,297,0.603,,0.763,9.4,5.5,3.6,0.4,marjabo01
37,Jarell Martin,Dec 18 '15 MEM @ DAL,21,1,27,380,54,116,0,2,45,62,39,86,15,8,7,19,58,153,0.466,0,0.726,14.1,5.7,3.2,0.6,martija01
38,T.J. McConnell,Oct 28 '15 PHI @ BOS,23,1,81,1606,218,464,31,89,26,41,43,250,367,95,10,140,114,493,0.47,0.348,0.634,19.8,6.1,3.1,4.5,mccontj01
39,Chris McCullough,Feb 8 '16 BRK vs. DEN,20,1,24,362,44,109,13,34,11,23,25,68,9,28,12,15,39,112,0.404,0.382,0.478,15.1,4.7,2.8,0.4,mcculch01
40,Jordan McRae,Jan 29 '16 PHO @ NYK,24,1,22,195,34,78,10,22,21,28,4,20,25,3,1,15,17,99,0.436,0.455,0.75,8.9,4.5,0.9,1.1,mcraejo01
41,Salah Mejri,Oct 28 '15 DAL @ PHO,29,1,34,397,49,78,0,1,27,46,41,123,10,8,36,23,54,125,0.628,0,0.587,11.7,3.7,3.6,0.3,mejrisa01
42,Jordan Mickey,Oct 28 '15 BOS vs. PHI,21,1,16,57,8,22,0,0,5,10,6,13,1,0,11,1,5,21,0.364,,0.5,3.6,1.3,0.8,0.1,mickejo01
43,Luis Montero,Oct 30 '15 POR @ PHO,22,1,12,42,5,19,1,9,3,4,0,4,1,0,0,4,1,14,0.263,0.111,0.75,3.5,1.2,0.3,0.1,montelu01
44,Emmanuel Mudiay,Oct 28 '15 DEN @ HOU,19,1,68,2068,329,905,74,232,140,209,32,232,372,65,35,217,141,872,0.364,0.319,0.67,30.4,12.8,3.4,5.5,mudiaem01
45,Xavier Munford,Mar 17 '16 MEM @ MIL,23,1,14,244,32,77,9,23,7,14,3,31,22,13,3,15,25,80,0.416,0.391,0.5,17.4,5.7,2.2,1.6,munfoxa02
46,Larry Nance Jr.,Nov 6 '15 LAL @ BRK,23,1,63,1266,158,300,1,10,32,47,101,312,44,54,23,41,124,349,0.527,0.1,0.681,20.1,5.5,5,0.7,nancela02
47,Raul Neto,Oct 28 '15 UTA @ DET,23,1,81,1499,180,418,64,162,52,70,17,120,174,62,2,109,122,476,0.431,0.395,0.743,18.5,5.9,1.5,2.1,netora01
48,J.J. O'Brien,Jan 16 '16 UTA vs. LAL,23,1,2,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,,3,0,0.5,0,obriejj01
49,Jahlil Okafor,Oct 28 '15 PHI @ BOS,20,1,53,1591,397,781,1,6,133,194,122,373,65,22,61,124,140,928,0.508,0.167,0.686,30,17.5,7,1.2,okafoja01
50,Kelly Oubre Jr.,Oct 30 '15 WAS @ MIL,20,1,63,671,90,211,25,79,31,49,25,133,13,22,7,34,100,236,0.427,0.316,0.633,10.7,3.7,2.1,0.2,oubreke01
51,Lamar Patterson,Oct 27 '15 ATL vs. DET,24,1,35,395,28,80,12,49,16,22,4,50,39,9,2,23,45,84,0.35,0.245,0.727,11.3,2.4,1.4,1.1,pattela01
52,Cameron Payne,Nov 1 '15 OKC vs. DEN,21,1,57,698,114,278,36,111,19,24,9,85,108,36,6,44,80,283,0.41,0.324,0.792,12.2,5,1.5,1.9,payneca01
53,Tibor Pleiß,Oct 30 '15 UTA @ PHI,26,1,12,82,11,25,0,2,2,2,6,15,2,1,2,8,19,24,0.44,0,1,6.8,2,1.3,0.2,pleisti01
54,Bobby Portis,Nov 3 '15 CHI @ CHO,20,1,62,1102,186,436,16,52,48,66,123,337,52,25,22,54,100,436,0.427,0.308,0.727,17.8,7,5.4,0.8,portibo01
55,Kristaps Porziņģis,Oct 28 '15 NYK @ MIL,20,1,72,2047,373,886,81,243,201,240,132,526,94,53,134,121,205,1028,0.421,0.333,0.838,28.4,14.3,7.3,1.3,porzikr01
56,Norman Powell,Nov 1 '15 TOR vs. MIL,22,1,49,725,97,229,36,89,43,53,16,111,47,29,10,32,59,273,0.424,0.404,0.811,14.8,5.6,2.3,1,powelno01
57,Willie Reed,Dec 4 '15 BRK @ NYK,25,1,39,426,76,133,0,0,30,55,49,122,10,6,30,16,47,182,0.571,,0.545,10.9,4.7,3.1,0.3,reedwi02
58,Josh Richardson,Nov 5 '15 MIA @ MIN,22,1,52,1107,123,272,53,115,42,63,21,107,73,36,25,35,107,341,0.452,0.461,0.667,21.3,6.6,2.1,1.4,richajo01
59,Terry Rozier,Oct 28 '15 BOS vs. PHI,21,1,39,311,29,106,6,27,8,10,24,63,37,6,1,19,23,72,0.274,0.222,0.8,8,1.8,1.6,0.9,roziete01
60,D'Angelo Russell,Oct 28 '15 LAL vs. MIN,19,1,80,2259,392,956,130,370,140,190,47,274,266,93,13,196,142,1054,0.41,0.351,0.737,28.2,13.2,3.4,3.3,russeda01
61,Jonathon Simmons,Nov 14 '15 SAS vs. PHI,26,1,55,813,122,242,18,47,69,92,16,96,58,24,5,53,103,331,0.504,0.383,0.75,14.8,6,1.7,1.1,simmojo02
62,Alex Stepheson,Feb 20 '16 LAC vs. GSW,28,1,8,73,9,27,0,0,4,12,19,28,2,1,5,0,12,22,0.333,,0.333,9.1,2.8,3.5,0.3,stephal01
63,Edy Tavares,Oct 29 '15 ATL @ NYK,23,1,11,73,11,19,0,0,3,8,7,21,3,1,6,5,8,25,0.579,,0.375,6.6,2.3,1.9,0.3,tavarwa01
64,Axel Toupane,Mar 4 '16 DEN vs. BRK,23,1,21,305,25,70,13,40,13,17,8,31,15,7,6,6,40,76,0.357,0.325,0.765,14.5,3.6,1.5,0.7,toupaax01
65,Karl-Anthony Towns,Oct 28 '15 MIN @ LAL,20,1,82,2627,625,1153,30,88,223,275,229,858,161,58,138,183,245,1503,0.542,0.341,0.811,32,18.3,10.5,2,townska01
66,Myles Turner,Oct 29 '15 IND vs. MEM,19,1,60,1367,264,530,3,14,88,121,68,332,41,25,86,67,158,619,0.498,0.214,0.727,22.8,10.3,5.5,0.7,turnemy01
67,Rashad Vaughn,Oct 28 '15 MIL vs. NYK,19,1,70,1001,81,266,43,147,12,15,11,88,39,29,16,28,73,217,0.305,0.293,0.8,14.3,3.1,1.3,0.6,vaughra01
68,Briante Weber,Mar 11 '16 MEM vs. NOP,23,1,7,169,14,39,0,5,3,4,8,25,21,9,3,9,12,31,0.359,0,0.75,24.1,4.4,3.6,3,weberbr01
69,Alan Williams,Mar 17 '16 PHO @ UTA,23,1,10,68,10,24,0,0,9,14,14,38,5,4,5,6,15,29,0.417,,0.643,6.8,2.9,3.8,0.5,willial03
70,Justise Winslow,Oct 28 '15 MIA vs. CHO,19,1,78,2232,195,462,32,116,80,117,81,403,117,68,26,95,184,502,0.422,0.276,0.684,28.6,6.4,5.2,1.5,winslju01
71,Christian Wood,Oct 28 '15 PHI @ BOS,20,1,17,145,22,53,4,11,13,21,13,38,3,5,7,2,11,61,0.415,0.364,0.619,8.5,3.6,2.2,0.2,woodch01
72,Delon Wright,Nov 1 '15 TOR vs. MIL,23,1,27,229,36,80,5,13,26,35,8,37,31,8,3,16,7,103,0.45,0.385,0.743,8.5,3.8,1.4,1.1,wrighde01
73,Joe Young,Oct 28 '15 IND @ TOR,23,1,41,384,62,169,10,46,20,25,6,50,65,15,0,33,30,154,0.367,0.217,0.8,9.4,3.8,1.2,1.6,youngjo01
