,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,1,64,2088,1114,354,356,0.416,0.314,0.845,32.6,17.4,5.5,5.6,-0.5,-0.011,-1.6,0.2
2,2,HOU,Jalen Green,,1,67,2138,1157,226,176,0.426,0.343,0.797,31.9,17.3,3.4,2.6,0.7,0.015,-2.9,-0.5
3,3,CLE,Evan Mobley,USC,1,69,2331,1034,570,174,0.508,0.25,0.663,33.8,15,8.3,2.5,5.2,0.107,0.6,1.5
4,4,TOR,Scottie Barnes,Florida State,1,74,2617,1134,557,256,0.492,0.301,0.735,35.4,15.3,7.5,3.5,6.6,0.122,0.9,1.9
5,5,ORL,Jalen Suggs,Gonzaga,1,48,1307,564,171,209,0.361,0.214,0.773,27.2,11.8,3.6,4.4,-1.6,-0.06,-5.6,-1.2
6,6,OKC,Josh Giddey,,1,54,1700,674,421,345,0.419,0.263,0.709,31.5,12.5,7.8,6.4,0.4,0.01,-1,0.4
7,7,GSW,Jonathan Kuminga,,1,70,1185,652,234,64,0.513,0.336,0.684,16.9,9.3,3.3,0.9,3,0.123,-1.5,0.1
8,8,ORL,Franz Wagner,Michigan,1,79,2429,1197,356,231,0.468,0.354,0.863,30.7,15.2,4.5,2.9,4,0.079,-0.7,0.8
9,9,SAC,Davion Mitchell,Baylor,1,75,2076,861,166,313,0.418,0.316,0.659,27.7,11.5,2.2,4.2,0.1,0.003,-3.8,-0.9
10,10,NOP,Ziaire Williams,Stanford,1,62,1346,501,129,65,0.45,0.314,0.782,21.7,8.1,2.1,1,2.2,0.08,-3,-0.3
11,11,CHO,James Bouknight,UConn,1,31,304,142,52,26,0.348,0.347,0.871,9.8,4.6,1.7,0.8,0,0.001,-7.1,-0.4
12,12,SAS,Joshua Primo,Alabama,1,50,965,288,113,81,0.374,0.307,0.746,19.3,5.8,2.3,1.6,0,0.001,-5,-0.7
13,13,IND,Chris Duarte,Oregon,1,55,1541,720,226,114,0.432,0.369,0.804,28,13.1,4.1,2.1,0.9,0.029,-2.3,-0.1
14,14,GSW,Moses Moody,Arkansas,1,52,607,228,80,23,0.437,0.364,0.778,11.7,4.4,1.5,0.4,1.3,0.101,-2.5,-0.1
15,15,WAS,Corey Kispert,Gonzaga,1,77,1801,634,209,85,0.455,0.35,0.871,23.4,8.2,2.7,1.1,2.3,0.061,-2.3,-0.1
16,16,OKC,Alperen Şengün,,1,72,1489,692,393,185,0.474,0.248,0.711,20.7,9.6,5.5,2.6,2.1,0.068,-1,0.4
17,17,MEM,Trey Murphy III,Virginia,1,62,864,334,147,38,0.394,0.382,0.882,13.9,5.4,2.4,0.6,1.9,0.104,-1.2,0.2
18,18,OKC,Tre Mann,Florida,1,60,1367,625,171,91,0.393,0.36,0.793,22.8,10.4,2.9,1.5,0.1,0.002,-4.3,-0.8
19,19,NYK,Kai Jones,Texas,1,21,63,22,11,4,0.643,0.5,0.375,3,1,0.5,0.2,0,0.009,-6.6,-0.1
20,20,ATL,Jalen Johnson,Duke,1,22,120,52,26,3,0.537,0.231,0.714,5.5,2.4,1.2,0.1,0,0.013,-4.9,-0.1
21,21,NYK,Keon Johnson,Tennessee,1,37,697,267,81,76,0.353,0.34,0.804,18.8,7.2,2.2,2.1,-0.5,-0.031,-5.9,-0.7
22,22,LAL,Isaiah Jackson,Kentucky,1,36,541,297,149,10,0.563,0.313,0.682,15,8.3,4.1,0.3,1.4,0.126,-1.5,0.1
23,23,HOU,Usman Garuba,,1,24,239,48,83,17,0.432,0.25,0.714,10,2,3.5,0.7,0.5,0.105,-0.9,0.1
24,24,HOU,Josh Christopher,Arizona State,1,74,1334,587,186,150,0.448,0.296,0.735,18,7.9,2.5,2,0.3,0.01,-3.5,-0.5
25,25,LAC,Quentin Grimes,Houston,1,46,786,275,94,44,0.404,0.381,0.684,17.1,6,2,1,1.4,0.087,-0.3,0.3
26,26,DEN,Bones Hyland,VCU,1,69,1310,698,188,191,0.403,0.366,0.856,19,10.1,2.7,2.8,2.4,0.088,-0.4,0.5
27,27,BRK,Cam Thomas,LSU,1,67,1176,570,161,78,0.433,0.27,0.829,17.6,8.5,2.4,1.2,0.8,0.033,-3.4,-0.4
28,28,PHI,Jaden Springer,Tennessee,1,2,6,2,2,0,1,,,3,1,1,0,0,0.138,17.1,0
29,29,PHO,Day'Ron Sharpe,UNC,1,32,391,198,160,17,0.577,0.286,0.585,12.2,6.2,5,0.5,1.2,0.152,-2.8,-0.1
30,30,UTA,Santi Aldama,Loyola (MD),1,32,360,132,87,21,0.402,0.125,0.625,11.3,4.1,2.7,0.7,0.3,0.044,-5.7,-0.3
31,31,MIL,Isaiah Todd,,1,12,74,20,12,4,0.269,0.25,0.333,6.2,1.7,1,0.3,-0.2,-0.104,-6.9,-0.1
32,32,NYK,Jeremiah Robinson-Earl,Villanova,1,49,1087,366,274,49,0.414,0.352,0.741,22.2,7.5,5.6,1,1.5,0.065,-2.2,-0.1
33,33,ORL,Jason Preston,Ohio University,,,,,,,,,,,,,,,,,
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,1,78,2335,742,296,167,0.476,0.337,0.84,29.9,9.5,3.8,2.1,4.6,0.096,-0.5,0.9
36,36,OKC,Miles McBride,West Virginia,1,40,372,89,42,41,0.296,0.25,0.667,9.3,2.2,1.1,1,0.2,0.032,-4.5,-0.2
37,37,DET,JT Thor,Auburn,1,33,262,67,43,19,0.436,0.259,0.6,7.9,2,1.3,0.6,0.3,0.058,-3,-0.1
38,38,CHI,Ayo Dosunmu,Illinois,1,77,2110,679,214,256,0.52,0.376,0.679,27.4,8.8,2.8,3.3,3,0.069,-2,0
39,39,SAC,Neemias Queta,Utah State University,1,14,120,45,31,6,0.447,,0.647,8.6,3.2,2.2,0.4,0.1,0.051,-5.1,-0.1
40,40,NOP,Jared Butler,Baylor,1,42,360,161,45,63,0.404,0.318,0.688,8.6,3.8,1.1,1.5,0.4,0.057,-1.6,0
41,41,SAS,Joe Wieskamp,Iowa,1,29,205,61,14,9,0.357,0.326,0.538,7.1,2.1,0.5,0.3,0.1,0.035,-3.9,-0.1
42,42,DET,Isaiah Livers,Michigan,1,19,383,121,57,21,0.456,0.422,0.857,20.2,6.4,3,1.1,0.7,0.085,-1.5,0
43,43,NOP,Greg Brown III,Texas,1,48,640,225,135,35,0.426,0.311,0.677,13.3,4.7,2.8,0.7,0.4,0.029,-4.7,-0.4
44,44,BRK,Kessler Edwards,Pepperdine,1,48,987,284,172,31,0.412,0.353,0.842,20.6,5.9,3.6,0.6,0.6,0.031,-3.8,-0.5
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,
46,46,TOR,Dalano Banton,Nebraska,1,64,696,205,124,99,0.411,0.255,0.591,10.9,3.2,1.9,1.5,0.4,0.03,-3.1,-0.2
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,,1,0,0,0,0,-0.495,-27.7,0
48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,0.214,0.167,,3,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,
50,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,
51,51,MEM,Brandon Boston Jr.,Kentucky,1,51,760,343,111,51,0.385,0.306,0.819,14.9,6.7,2.2,1,0.4,0.026,-3.3,-0.3
