,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,4,245,4460,1796,434,588,0.412,0.373,0.84,18.2,7.3,1.8,2.4,4.7,0.051,-2.3,-0.4
24,24,POR,Anfernee Simons,,4,211,4375,2144,456,420,0.425,0.392,0.833,20.7,10.2,2.2,2,4,0.043,-2.2,-0.2
25,25,LAL,Moritz Wagner,Michigan,4,196,2963,1474,682,217,0.487,0.321,0.813,15.1,7.5,3.5,1.1,5.9,0.096,-1.4,0.4
26,26,PHI,Landry Shamet,Wichita State,4,262,6094,2354,472,423,0.41,0.39,0.835,23.3,9,1.8,1.6,10.6,0.083,-1.8,0.3
27,27,BOS,Robert Williams,Texas A&M,4,174,3460,1255,1155,249,0.728,0,0.665,19.9,7.2,6.6,1.4,18.4,0.255,5.3,6.3
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,4,223,3144,984,386,320,0.386,0.383,0.81,14.1,4.4,1.7,1.4,4.5,0.069,-1.1,0.7
33,33,DAL,Jalen Brunson,Villanova,4,277,6834,3286,843,1034,0.494,0.373,0.8,24.7,11.9,3,3.7,17.3,0.121,0,3.5
34,34,ATL,Devonte' Graham,Kansas,4,240,6708,3080,600,1203,0.372,0.357,0.827,28,12.8,2.5,5,10.1,0.072,-0.4,2.7
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6
36,36,NYK,Mitchell Robinson,,4,230,5473,1941,1720,128,0.722,,0.54,23.8,8.4,7.5,0.6,24.8,0.218,2.3,6
