,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,2,144,4780,2925,679,486,0.429,0.344,0.781,33.2,20.3,4.7,3.4,5.1,0.051,-0.4,1.9
2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,21.4,11.5,5.8,0.7,0.7,0.042,-5,-0.6
3,3,CHO,LaMelo Ball,,2,126,3891,2311,803,884,0.431,0.378,0.826,30.9,18.3,6.4,7,8.7,0.107,2.8,4.7
4,4,CHI,Patrick Williams,Florida State,2,88,2405,808,396,114,0.49,0.413,0.729,27.3,9.2,4.5,1.3,3.3,0.067,-2.3,-0.2
5,5,CLE,Isaac Okoro,Auburn,2,134,4154,1234,407,249,0.446,0.315,0.747,31,9.2,3,1.9,5.1,0.059,-3.5,-1.6
6,6,ATL,Onyeka Okongwu,USC,2,98,1593,620,446,71,0.672,0,0.695,16.3,6.3,4.6,0.7,6.1,0.184,0,0.8
7,7,DET,Killian Hayes,,2,92,2317,629,279,415,0.374,0.268,0.78,25.2,6.8,3,4.5,-0.6,-0.013,-4.6,-1.5
8,8,NYK,Obi Toppin,Dayton,2,134,1913,901,406,106,0.521,0.307,0.753,14.3,6.7,3,0.8,5.5,0.137,1,1.5
9,9,WAS,Deni Avdija,,2,136,3241,1027,687,230,0.426,0.316,0.729,23.8,7.6,5.1,1.7,3.6,0.054,-2.3,-0.2
10,10,PHO,Jalen Smith,Maryland,2,78,1081,523,344,28,0.495,0.317,0.761,13.9,6.7,4.4,0.4,2.9,0.127,-1.3,0.2
