,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
11,11,SAS,Devin Vassell,Florida State,2,133,2993,1213,480,192,0.421,0.357,0.84,22.5,9.1,3.6,1.4,4.8,0.077,-0.9,0.8
12,12,SAC,Tyrese Haliburton,Iowa State,2,135,4441,1934,484,937,0.473,0.412,0.846,32.9,14.3,3.6,6.9,10.5,0.114,2.1,4.6
13,13,NOP,Kira Lewis Jr.,Alabama,2,78,1245,484,110,173,0.391,0.298,0.841,16,6.2,1.4,2.2,0.7,0.028,-3.6,-0.5
14,14,BOS,Aaron Nesmith,Vanderbilt,2,98,1243,414,216,45,0.417,0.318,0.796,12.7,4.2,2.2,0.5,1.5,0.058,-3.7,-0.5
15,15,ORL,Cole Anthony,UNC,2,112,3332,1667,569,561,0.393,0.337,0.846,29.8,14.9,5.1,5,1.6,0.023,-2,0
16,16,POR,Isaiah Stewart,Washington,2,139,3271,1126,1070,141,0.529,0.33,0.708,23.5,8.1,7.7,1,7.4,0.109,-2.3,-0.2
17,17,MIN,Aleksej Pokusevski,,2,106,2323,831,530,228,0.376,0.285,0.717,21.9,7.8,5,2.2,-1.5,-0.032,-4.2,-1.3
18,18,DAL,Josh Green,Arizona,2,106,1484,420,239,107,0.493,0.311,0.647,14,4,2.3,1,2.9,0.093,-1.8,0.1
19,19,BRK,Saddiq Bey,Villanova,2,152,4613,2178,759,328,0.399,0.361,0.833,30.3,14.3,5,2.2,7.3,0.075,-0.4,1.9
20,20,MIA,Precious Achiuwa,Memphis,2,134,2462,968,681,111,0.468,0.357,0.556,18.4,7.2,5.1,0.8,3.8,0.075,-3,-0.7
21,21,PHI,Tyrese Maxey,Kentucky,2,136,3585,1799,344,441,0.478,0.396,0.867,26.4,13.2,2.5,3.2,9.2,0.123,0,1.9
22,22,DEN,Zeke Nnaji,Arizona,2,83,1095,406,212,27,0.503,0.439,0.663,13.2,4.9,2.6,0.3,2.7,0.116,-2.1,0
23,23,NYK,Leandro Bolmaro,,1,35,241,50,43,21,0.315,0.278,0.846,6.9,1.4,1.2,0.6,0,0.004,-5.8,-0.2
24,24,MIL,R.J. Hampton,,2,115,2290,843,373,245,0.404,0.337,0.653,19.9,7.3,3.2,2.1,0.2,0.005,-4,-1.1
25,25,OKC,Immanuel Quickley,Kentucky,2,142,3045,1613,384,402,0.393,0.365,0.885,21.4,11.4,2.7,2.8,7.5,0.118,0.5,1.9
26,26,BOS,Payton Pritchard,Oregon,2,137,2269,952,292,259,0.435,0.412,0.924,16.6,6.9,2.1,1.9,5.6,0.118,0.4,1.4
27,27,UTA,Udoka Azubuike,Kansas,2,32,252,96,84,0,0.707,,0.667,7.9,3,2.6,0,0.8,0.148,-2,0
28,28,LAL,Jaden McDaniels,Washington,2,133,3314,1074,525,150,0.455,0.338,0.724,24.9,8.1,3.9,1.1,3.9,0.056,-3.2,-1
29,29,TOR,Malachi Flynn,San Diego State,2,91,1465,542,179,207,0.38,0.326,0.75,16.1,6,2,2.3,1.8,0.06,-2.2,-0.1
30,30,BOS,Desmond Bane,TCU,2,144,3785,2009,544,326,0.464,0.435,0.882,26.3,14,3.8,2.3,10.1,0.129,1.3,3.2
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
32,32,CHO,Vernon Carey Jr.,Duke,2,26,159,66,39,2,0.51,0.143,0.625,6.1,2.5,1.5,0.1,0.2,0.066,-6.5,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Théo Maledon,,2,116,2686,1019,342,338,0.371,0.322,0.766,23.2,8.8,2.9,2.9,-0.5,-0.009,-4.8,-1.9
35,35,SAC,Xavier Tillman Sr.,Michigan State,2,112,1786,642,417,137,0.515,0.281,0.645,15.9,5.7,3.7,1.2,4.6,0.125,0.2,1
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,1,30,690,187,101,57,0.407,0.327,0.864,23,6.2,3.4,1.9,0.6,0.042,-5.3,-0.6
38,38,UTA,Saben Lee,Vanderbilt,2,85,1385,475,184,281,0.434,0.265,0.731,16.3,5.6,2.2,3.3,2.4,0.083,-1.3,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,2,106,1417,507,176,272,0.487,0.232,0.8,13.4,4.8,1.7,2.6,3.3,0.11,-1,0.3
42,42,NOP,Nick Richards,Kentucky,2,68,430,165,97,15,0.646,0,0.685,6.3,2.4,1.4,0.2,1,0.111,-3.5,-0.2
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2
44,44,CHI,Marko Simonovic,,1,9,35,17,10,0,0.267,0.2,0.727,3.9,1.9,1.1,0,0,-0.011,-11.1,-0.1
45,45,MIL,Jordan Nwora,Louisville,2,92,1459,658,281,66,0.415,0.37,0.809,15.9,7.2,3.1,0.7,1,0.033,-3.6,-0.6
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,2,96,992,351,92,55,0.355,0.349,0.855,10.3,3.7,1,0.6,1.1,0.052,-4,-0.5
50,50,ATL,Skylar Mays,LSU,2,61,489,204,60,47,0.469,0.338,0.882,8,3.3,1,0.8,1.1,0.104,0.1,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,2,124,2724,1115,539,149,0.524,0.36,0.667,22,9,4.3,1.2,5.1,0.09,-1.4,0.4
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
55,55,BRK,Jay Scrubb,John A. Logan College,2,22,205,84,30,9,0.39,0.267,0.8,9.3,3.8,1.4,0.4,-0.1,-0.028,-7.3,-0.3
56,56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0
57,57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3
58,58,PHI,Paul Reed,DePaul,2,64,479,204,153,28,0.552,0.143,0.455,7.5,3.2,2.4,0.4,1.9,0.193,1,0.4
59,59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1
60,60,NOP,Sam Merrill,Utah State University,2,36,291,114,37,25,0.417,0.4,0.75,8.1,3.2,1,0.7,0.5,0.088,-1.9,0
