,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
16,Ian Clark,Nov 1 '13 UTA @ PHO,22,1,23,172,26,67,11,31,5,7,3,19,15,8,2,14,24,68,0.388,0.355,0.714,7.5,3,0.8,0.7,clarkia01
17,Robert Covington,Jan 18 '14 HOU vs. MIL,23,1,7,34,6,14,4,11,0,0,2,5,0,2,0,1,3,16,0.429,0.364,,4.9,2.3,0.7,0,covinro01
18,Allen Crabbe,Nov 1 '13 POR @ DEN,21,1,15,100,12,33,6,14,3,4,1,9,6,2,1,3,10,33,0.364,0.429,0.75,6.7,2.2,0.6,0.4,crabbal01
19,Seth Curry,Jan 5 '14 MEM @ DET,23,1,2,13,1,3,1,1,0,0,0,1,0,2,0,0,0,3,0.333,1,,6.5,1.5,0.5,0,curryse01
20,Troy Daniels,Mar 5 '14 HOU @ ORL,22,1,5,75,15,31,12,25,0,0,0,4,5,0,0,3,6,42,0.484,0.48,,15,8.4,0.8,1,danietr01
21,Gigi Datome,Oct 30 '13 DET vs. WAS,26,1,34,238,34,97,7,39,8,10,14,46,11,6,1,11,20,83,0.351,0.179,0.8,7,2.4,1.4,0.3,datomlu01
22,Brandon Davies,Nov 2 '13 PHI vs. CHI,22,1,51,575,54,128,2,10,34,53,38,109,28,24,8,35,92,144,0.422,0.2,0.642,11.3,2.8,2.1,0.5,daviebr01
23,Dewayne Dedmon,Nov 18 '13 GSW @ UTA,24,1,31,390,38,83,0,0,21,32,38,127,5,7,22,18,66,97,0.458,,0.656,12.6,3.1,4.1,0.2,dedmode01
24,Matthew Dellavedova,Nov 2 '13 CLE @ IND,23,1,72,1271,122,296,57,155,38,48,29,123,187,33,5,60,121,339,0.412,0.368,0.792,17.7,4.7,1.7,2.6,dellama01
25,Gorgui Dieng,Nov 1 '13 MIN vs. OKC,24,1,60,818,113,227,1,1,59,93,103,300,39,30,50,54,108,286,0.498,1,0.634,13.6,4.8,5,0.7,dienggo01
26,Shane Edwards,Mar 16 '14 CLE @ LAC,26,1,2,12,1,3,0,0,0,0,1,2,0,0,0,1,1,2,0.333,,,6,1,1,0,edwarsh01
27,Vítor Luiz Faverani,Oct 30 '13 BOS @ TOR,25,1,37,488,64,147,12,40,24,37,42,128,16,14,27,41,74,164,0.435,0.3,0.649,13.2,4.4,3.5,0.4,favervi01
28,Carrick Felix,Nov 22 '13 CLE @ NOP,23,1,7,38,7,14,2,5,3,4,1,6,4,0,0,4,4,19,0.5,0.4,0.75,5.4,2.7,0.9,0.6,felixca01
29,Jamaal Franklin,Nov 6 '13 MEM vs. NOP,22,1,21,161,16,39,5,11,2,2,4,23,6,4,2,11,23,39,0.41,0.455,1,7.7,1.9,1.1,0.3,frankja01
30,Rudy Gobert,Oct 30 '13 UTA vs. OKC,21,1,45,434,36,74,0,0,32,65,51,155,7,8,41,32,57,104,0.486,,0.492,9.6,2.3,3.4,0.2,goberru01
31,Archie Goodwin,Oct 30 '13 PHO vs. POR,19,1,52,533,76,167,5,36,37,55,25,87,20,20,11,44,45,194,0.455,0.139,0.673,10.3,3.7,1.7,0.4,goodwar01
32,Jorge Gutiérrez,Mar 9 '14 BRK vs. SAC,25,1,15,244,25,54,3,12,9,12,3,22,30,10,1,14,37,62,0.463,0.25,0.75,16.3,4.1,1.5,2,gutiejo01
33,Justin Hamilton,Mar 8 '14 CHA @ MEM,23,1,8,72,9,20,3,9,5,5,4,7,0,5,0,4,8,26,0.45,0.333,1,9,3.3,0.9,0,hamilju01
34,Tim Hardaway Jr.,Oct 30 '13 NYK vs. MIL,21,1,81,1875,294,687,130,358,106,128,19,121,66,44,7,47,144,824,0.428,0.363,0.828,23.1,10.2,1.5,0.8,hardati02
35,Elias Harris,Oct 30 '13 LAL @ GSW,24,1,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,,,5.5,0,0.5,0.5,harriel01
36,Solomon Hill,Oct 29 '13 IND vs. ORL,22,1,28,226,17,40,7,23,6,7,9,41,12,5,2,13,19,47,0.425,0.304,0.857,8.1,1.7,1.5,0.4,hillso01
37,Scotty Hopson,Apr 2 '14 CLE @ ORL,24,1,2,7,0,4,0,2,1,2,0,0,1,1,0,0,0,1,0,0,0.5,3.5,0.5,0,0.5,hopsosc01
38,Robbie Hummel,Nov 1 '13 MIN vs. OKC,24,1,53,655,67,177,32,89,15,16,35,132,23,16,2,10,57,181,0.379,0.36,0.938,12.4,3.4,2.5,0.4,hummero01
39,Sergey Karasev,Nov 2 '13 CLE @ IND,20,1,22,156,12,35,4,19,9,10,0,16,6,3,1,11,22,37,0.343,0.211,0.9,7.1,1.7,0.7,0.3,karasse01
40,Ryan Kelly,Nov 5 '13 LAL @ DAL,22,1,59,1312,157,371,48,142,110,135,42,219,95,32,45,47,147,472,0.423,0.338,0.815,22.2,8,3.7,1.6,kellyry01
41,Ognjen Kuzmić,Oct 30 '13 GSW vs. LAL,23,1,21,92,5,13,0,0,5,11,10,21,2,3,4,10,17,15,0.385,,0.455,4.4,0.7,1,0.1,kuzmiog01
42,Shane Larkin,Nov 18 '13 DAL vs. PHI,21,1,48,489,52,137,12,38,16,25,11,42,71,26,1,39,46,132,0.38,0.316,0.64,10.2,2.8,0.9,1.5,larkish01
43,Ricky Ledo,Nov 1 '13 DAL @ HOU,21,1,11,33,6,17,3,8,4,4,0,2,2,1,0,2,2,19,0.353,0.375,1,3,1.7,0.2,0.2,ledori01
44,Alex Len,Oct 30 '13 PHO vs. POR,20,1,42,362,33,78,0,0,20,31,39,99,4,4,18,26,68,86,0.423,,0.645,8.6,2,2.4,0.1,lenal01
45,Ray McCallum,Dec 6 '13 SAC vs. LAL,22,1,45,897,113,300,22,59,32,43,18,79,120,22,9,39,69,280,0.377,0.373,0.744,19.9,6.2,1.8,2.7,mccalra01
46,CJ McCollum,Jan 8 '14 POR vs. ORL,22,1,38,476,74,178,30,80,23,34,7,48,27,14,2,35,53,201,0.416,0.375,0.676,12.5,5.3,1.3,0.7,mccolcj01
47,Ben McLemore,Oct 30 '13 SAC vs. DEN,20,1,82,2187,255,679,95,297,115,143,53,235,82,45,18,96,201,720,0.376,0.32,0.804,26.7,8.8,2.9,1,mclembe01
48,Gal Mekel,Oct 30 '13 DAL vs. ATL,25,1,31,292,30,86,5,20,8,12,5,27,63,4,1,31,31,73,0.349,0.25,0.667,9.4,2.4,0.9,2,mekelga01
49,Tony Mitchell,Oct 30 '13 DET vs. WAS,21,1,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,0.417,1,0.579,3.8,1,1.2,0.1,mitchto02
50,Tony Mitchell,Mar 5 '14 MIL vs. SAC,24,1,3,10,3,5,0,1,0,0,1,1,1,1,0,0,0,6,0.6,0,,3.3,2,0.3,0.3,mitchto03
51,Shabazz Muhammad,Nov 1 '13 MIN vs. OKC,21,1,37,290,57,124,3,11,26,40,24,53,6,8,1,16,24,143,0.46,0.273,0.65,7.8,3.9,1.4,0.2,muhamsh01
52,Erik Murphy,Nov 6 '13 CHI @ IND,23,1,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,0.231,0,,2.6,0.3,0.3,0.1,murpher01
53,Toure' Murry,Nov 8 '13 NYK @ CHA,24,1,51,373,56,129,5,12,23,39,13,44,49,19,1,34,46,140,0.434,0.417,0.59,7.3,2.7,0.9,1,murryto01
54,Mike Muscala,Mar 2 '14 ATL @ PHO,22,1,20,215,31,73,0,3,14,14,17,52,7,3,10,12,29,76,0.425,0,1,10.8,3.8,2.6,0.4,muscami01
55,Nemanja Nedović,Oct 30 '13 GSW vs. LAL,22,1,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,0.205,0.167,0.875,5.9,1.1,0.6,0.5,nedovne01
56,James Nunnally,Jan 16 '14 ATL vs. BRK,23,1,13,165,15,46,8,25,6,9,1,19,8,6,2,7,11,44,0.326,0.32,0.667,12.7,3.4,1.5,0.6,nunnaja01
57,Victor Oladipo,Oct 29 '13 ORL @ IND,21,1,80,2487,392,936,74,226,248,318,43,329,327,129,37,256,210,1106,0.419,0.327,0.78,31.1,13.8,4.1,4.1,oladivi01
58,Kelly Olynyk,Oct 30 '13 BOS @ TOR,22,1,70,1400,234,502,40,114,99,122,140,365,109,35,27,106,227,607,0.466,0.351,0.811,20,8.7,5.2,1.6,olynyke01
59,Arinze Onuaku,Oct 30 '13 NOP vs. IND,26,1,5,30,1,5,0,0,1,2,2,8,3,0,0,1,3,3,0.2,,0.5,6,0.6,1.6,0.6,onuakar01
60,Mason Plumlee,Nov 3 '13 BRK @ ORL,23,1,70,1275,199,302,0,3,122,195,99,308,60,49,55,77,171,520,0.659,0,0.626,18.2,7.4,4.4,0.9,plumlma01
61,Otto Porter Jr.,Dec 6 '13 WAS vs. MIL,20,1,37,319,33,91,4,21,8,12,21,57,10,8,1,14,26,78,0.363,0.19,0.667,8.6,2.1,1.5,0.3,porteot01
62,Phil Pressey,Oct 30 '13 BOS @ TOR,22,1,75,1132,78,253,28,106,29,45,20,105,241,68,5,87,97,213,0.308,0.264,0.644,15.1,2.8,1.4,3.2,pressph01
63,Miroslav Raduljica,Nov 12 '13 MIL @ MIA,26,1,48,465,68,126,0,0,45,55,54,108,23,7,13,28,84,181,0.54,,0.818,9.7,3.8,2.3,0.5,radulmi01
64,Glen Rice Jr.,Nov 12 '13 WAS @ DAL,23,1,11,109,11,37,5,17,5,7,4,20,7,6,1,9,7,32,0.297,0.294,0.714,9.9,2.9,1.8,0.6,ricegl02
65,Andre Roberson,Nov 1 '13 OKC @ MIN,22,1,40,399,33,68,2,13,7,10,36,94,15,19,10,19,74,75,0.485,0.154,0.7,10,1.9,2.4,0.4,roberan03
66,Dennis Schröder,Oct 30 '13 ATL @ DAL,20,1,49,641,72,188,10,42,29,43,5,60,93,17,0,61,54,183,0.383,0.238,0.674,13.1,3.7,1.2,1.9,schrode01
67,Peyton Siva,Oct 30 '13 DET vs. WAS,23,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,0.316,0.28,0.733,9.3,2.3,0.6,1.4,sivape01
68,Chris Smith,Dec 25 '13 NYK vs. OKC,26,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,smithch05
69,Tony Snell,Oct 29 '13 CHI @ MIA,22,1,77,1231,129,336,57,178,31,41,19,124,68,29,15,44,84,346,0.384,0.32,0.756,16,4.5,1.6,0.9,snellto01
70,James Southerland,Nov 29 '13 CHA vs. MIL,23,1,4,30,5,15,3,6,1,2,0,8,0,1,2,1,3,14,0.333,0.5,0.5,7.5,3.5,2,0,southja01
71,D.J. Stephens,Mar 29 '14 MIL vs. MIA,23,1,3,15,3,7,0,0,1,1,1,5,0,0,0,0,0,7,0.429,,1,5,2.3,1.7,0,stephdj01
72,Adonis Thomas,Mar 1 '14 ORL @ MIA,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,0.429,0.2,1,6.2,2.3,0.5,0.5,thomaad01
73,Hollis Thompson,Nov 1 '13 PHI @ WAS,22,1,77,1742,171,372,67,167,52,73,73,247,73,53,12,60,144,461,0.46,0.401,0.712,22.6,6,3.2,0.9,thompho01
74,Casper Ware,Mar 24 '14 PHI @ SAS,24,1,9,116,18,42,7,21,5,6,0,9,10,8,0,5,11,48,0.429,0.333,0.833,12.9,5.3,1,1.1,wareca01
75,Royce White,Mar 21 '14 SAC vs. SAS,22,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,,3,0,0,0,whitero03
76,Jeff Withey,Nov 1 '13 NOP @ ORL,23,1,58,684,69,129,0,1,52,73,49,150,26,15,50,20,73,190,0.535,0,0.712,11.8,3.3,2.6,0.4,witheje01
77,Nate Wolters,Oct 30 '13 MIL @ NYK,22,1,58,1309,170,389,18,62,59,90,33,149,187,35,15,57,67,417,0.437,0.29,0.656,22.6,7.2,2.6,3.2,woltena01
78,Cody Zeller,Oct 30 '13 CHA @ HOU,21,1,82,1416,172,404,0,1,146,200,118,353,92,40,41,87,170,490,0.426,0,0.73,17.3,6,4.3,1.1,zelleco01
