,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Steven Adams,Oct 30 '13 OKC @ UTA,20,1,81,1197,93,185,0,0,79,136,142,332,43,40,57,71,203,265,0.503,,0.581,14.8,3.3,4.1,0.5,adamsst01
2,Giannis Antetokounmpo,Oct 30 '13 MIL @ NYK,19,1,77,1897,173,418,41,118,138,202,78,339,150,60,61,122,173,525,0.414,0.347,0.683,24.6,6.8,4.4,1.9,antetgi01
3,Pero Antić,Oct 30 '13 ATL @ DAL,31,1,50,925,123,294,56,171,50,66,57,209,58,19,12,55,126,352,0.418,0.327,0.758,18.5,7,4.2,1.2,anticpe01
4,Chris Babb,Mar 1 '14 BOS vs. IND,23,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,0.267,0.222,,9.4,1.6,1.2,0.2,babbch01
5,Anthony Bennett,Oct 30 '13 CLE vs. BRK,20,1,52,663,80,225,13,53,44,69,49,155,17,21,8,47,93,217,0.356,0.245,0.638,12.8,4.2,3,0.3,bennean01
6,Vander Blue,Jan 22 '14 BOS @ WAS,21,1,3,15,2,4,0,1,1,5,0,3,1,0,0,2,1,5,0.5,0,0.2,5,1.7,1,0.3,blueva01
7,Lorenzo Brown,Nov 20 '13 PHI vs. TOR,23,1,26,224,26,86,3,30,9,13,8,28,41,13,3,16,19,64,0.302,0.1,0.692,8.6,2.5,1.1,1.6,brownlo01
8,Reggie Bullock,Oct 29 '13 LAC @ LAL,22,1,43,395,43,121,22,73,7,9,11,54,12,9,1,13,26,115,0.355,0.301,0.778,9.2,2.7,1.3,0.3,bullore01
9,Trey Burke,Nov 20 '13 UTA @ NOP,21,1,70,2262,341,897,111,336,102,113,37,208,396,42,6,131,145,895,0.38,0.33,0.903,32.3,12.8,3,5.7,burketr01
10,Dwight Buycks,Nov 1 '13 TOR @ ATL,24,1,14,146,15,48,5,17,8,9,4,23,10,8,0,10,11,43,0.313,0.294,0.889,10.4,3.1,1.6,0.7,buyckdw01
11,Nick Calathes,Oct 30 '13 MEM @ SAS,24,1,71,1173,142,311,19,61,44,72,23,137,207,66,8,101,117,347,0.457,0.311,0.611,16.5,4.9,1.9,2.9,calatni01
12,Kentavious Caldwell-Pope,Oct 30 '13 DET vs. WAS,20,1,80,1583,182,460,59,185,47,61,38,156,55,75,12,28,145,470,0.396,0.319,0.77,19.8,5.9,2,0.7,caldwke01
13,Isaiah Canaan,Dec 25 '13 HOU @ SAS,22,1,22,252,31,87,18,55,21,29,7,24,22,8,4,21,25,101,0.356,0.327,0.724,11.5,4.6,1.1,1,canaais01
14,Michael Carter-Williams,Oct 30 '13 PHI vs. MIA,22,1,70,2414,427,1054,55,208,258,367,101,437,441,130,43,247,213,1167,0.405,0.264,0.703,34.5,16.7,6.2,6.3,cartemi01
15,Dionte Christmas,Nov 1 '13 PHO vs. UTA,27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,0.355,0.29,0.75,6.4,2.3,1.2,0.3,chrisdi01
