,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
31,Erick Green,Nov 7 '14 DEN vs. CLE,23,1,43,410,61,162,14,47,10,12,7,31,39,12,0,14,26,146,0.377,0.298,0.833,9.5,3.4,0.7,0.9,greener01
32,JaMychal Green,Jan 18 '15 SAS vs. UTA,24,1,24,164,27,47,0,6,8,10,19,45,4,5,5,14,25,62,0.574,0,0.8,6.8,2.6,1.9,0.2,greenja01
33,P.J. Hairston,Nov 4 '14 CHO @ NOP,22,1,45,687,87,269,49,163,31,36,22,92,21,21,13,22,61,254,0.323,0.301,0.861,15.3,5.6,2,0.5,hairspj02
34,Gary Harris,Nov 14 '14 DEN @ IND,20,1,55,719,66,217,21,103,35,47,21,64,29,39,7,38,71,188,0.304,0.204,0.745,13.1,3.4,1.2,0.5,harriga01
35,Joe Harris,Oct 31 '14 CLE @ CHI,23,1,51,493,48,120,31,84,9,15,7,41,26,7,2,27,62,136,0.4,0.369,0.6,9.7,2.7,0.8,0.5,harrijo01
36,Rodney Hood,Oct 29 '14 UTA vs. HOU,22,1,50,1064,155,374,62,170,61,80,9,117,83,30,12,45,119,433,0.414,0.365,0.763,21.3,8.7,2.3,1.7,hoodro01
37,Joe Ingles,Oct 29 '14 UTA vs. HOU,27,1,79,1673,147,354,72,202,30,40,22,175,182,72,10,98,124,396,0.415,0.356,0.75,21.2,5,2.2,2.3,inglejo01
38,Cory Jefferson,Oct 29 '14 BRK @ BOS,24,1,50,531,75,167,2,15,31,54,47,145,16,10,21,20,61,183,0.449,0.133,0.574,10.6,3.7,2.9,0.3,jeffeco01
39,Grant Jerrett,Nov 28 '14 OKC vs. NYK,21,1,8,51,7,26,1,15,1,1,2,9,3,2,2,3,11,16,0.269,0.067,1,6.4,2,1.1,0.4,jerregr01
40,Nick Johnson,Nov 1 '14 HOU vs. BOS,22,1,28,262,26,75,5,21,17,25,13,39,11,7,3,19,34,74,0.347,0.238,0.68,9.4,2.6,1.4,0.4,johnsni01
41,Tyler Johnson,Jan 14 '15 MIA @ GSW,22,1,32,603,70,167,18,48,32,47,14,81,42,33,9,30,42,190,0.419,0.375,0.681,18.8,5.9,2.5,1.3,johnsty01
42,Sean Kilpatrick,Mar 19 '15 MIN @ NYK,25,1,4,72,7,20,4,13,4,4,1,6,4,3,0,2,3,22,0.35,0.308,1,18,5.5,1.5,1,kilpase01
43,Alex Kirk,Nov 4 '14 CLE @ POR,23,1,5,14,1,4,0,0,2,2,1,1,1,0,0,0,1,4,0.25,,1,2.8,0.8,0.2,0.2,kirkal01
