,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
18,Evan Fournier,Oct 31 '12 DEN @ PHI,20,1,38,428,75,152,22,54,30,39,6,35,44,19,1,32,65,202,0.493,0.407,0.769,11.3,5.3,0.9,1.2,fournev01
19,Joel Freeland,Nov 2 '12 POR @ OKC,25,1,51,477,58,142,0,0,18,27,40,119,13,13,11,19,67,134,0.408,,0.667,9.4,2.6,2.3,0.3,freeljo01
20,Diante Garrett,Nov 5 '12 PHO @ MIA,24,1,19,149,16,49,3,15,5,10,5,15,31,10,0,16,5,40,0.327,0.2,0.5,7.8,2.1,0.8,1.6,garredi02
21,Draymond Green,Oct 31 '12 GSW @ PHO,22,1,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,0.327,0.209,0.818,13.4,2.9,3.3,0.7,greendr01
22,Ben Hansbrough,Nov 5 '12 IND @ SAS,25,1,28,200,15,45,6,23,21,27,2,18,21,7,2,18,23,57,0.333,0.261,0.778,7.1,2,0.6,0.8,hansbbe01
23,Maurice Harkless,Nov 7 '12 ORL @ MIN,19,1,76,1974,260,564,32,117,73,128,122,335,50,88,62,69,144,625,0.461,0.274,0.57,26,8.2,4.4,0.7,harklma01
24,John Henson,Nov 7 '12 MIL vs. MEM,22,1,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,0.482,0,0.533,13.1,6,4.7,0.5,hensojo01
25,Justin Holiday,Apr 3 '13 PHI @ CHA,23,1,9,142,16,48,4,16,6,8,0,14,15,3,6,9,7,42,0.333,0.25,0.75,15.8,4.7,1.6,1.7,holidju01
26,Bernard James,Oct 31 '12 DAL @ UTA,27,1,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,0.515,0,0.61,9.9,2.8,2.8,0.1,jamesbe01
27,John Jenkins,Nov 11 '12 ATL @ LAC,21,1,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,0.446,0.384,0.843,14.8,6.1,1.5,0.9,jenkijo01
28,Chris Johnson,Jan 23 '13 MEM vs. LAL,22,1,8,102,11,25,6,18,1,2,5,11,2,4,0,3,5,29,0.44,0.333,0.5,12.8,3.6,1.4,0.3,johnsch04
29,Orlando Johnson,Nov 5 '12 IND @ SAS,23,1,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,0.4,0.383,0.719,12.1,4,2.2,0.9,johnsor01
30,Darius Johnson-Odom,Nov 9 '12 LAL vs. GSW,23,1,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,0,0,,1.5,0,1,0.3,johnsda03
31,DeQuan Jones,Nov 4 '12 ORL vs. PHO,22,1,63,803,95,218,9,35,34,51,17,105,16,19,22,30,55,233,0.436,0.257,0.667,12.7,3.7,1.7,0.3,jonesde01
32,Kevin Jones,Dec 7 '12 CLE @ MIN,23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,0.402,,0.6,10.4,3,2.4,0.3,joneske01
33,Perry Jones,Nov 2 '12 OKC vs. POR,21,1,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,0.394,0,0.667,7.4,2.3,1.6,0.3,jonespe01
34,Terrence Jones,Nov 10 '12 HOU vs. DET,21,1,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,0.457,0.263,0.765,14.5,5.5,3.4,0.8,joneste01
35,Kris Joseph,Nov 2 '12 BOS vs. MIL,24,1,10,54,2,14,0,3,5,8,1,7,1,3,0,2,3,9,0.143,0,0.625,5.4,0.9,0.7,0.1,josepkr01
36,Michael Kidd-Gilchrist,Nov 2 '12 CHA vs. IND,19,1,78,2025,281,613,2,9,140,187,131,455,117,54,70,101,164,704,0.458,0.222,0.749,26,9,5.8,1.5,kiddgmi01
37,Viacheslav Kravtsov,Dec 21 '12 DET vs. WAS,25,1,25,224,33,46,0,0,11,37,24,45,9,5,9,14,32,77,0.717,,0.297,9,3.1,1.8,0.4,kravtvi01
38,Doron Lamb,Nov 2 '12 MIL @ BOS,21,1,47,577,60,163,14,37,20,34,8,46,32,13,0,26,52,154,0.368,0.378,0.588,12.3,3.3,1,0.7,lambdo01
39,Jeremy Lamb,Nov 2 '12 OKC vs. POR,20,1,23,147,24,68,9,30,14,14,5,18,5,2,2,6,13,71,0.353,0.3,1,6.4,3.1,0.8,0.2,lambje01
40,Meyers Leonard,Oct 31 '12 POR vs. LAL,20,1,69,1206,151,277,3,7,72,89,80,255,33,11,38,49,168,377,0.545,0.429,0.809,17.5,5.5,3.7,0.5,leoname01
41,Damian Lillard,Oct 31 '12 POR vs. LAL,22,1,82,3167,553,1288,185,503,271,321,42,257,531,74,19,243,172,1562,0.429,0.368,0.844,38.6,19,3.1,6.5,lillada01
42,Scott Machado,Nov 28 '12 HOU @ OKC,22,1,6,21,3,6,0,1,2,2,0,1,6,2,0,8,0,8,0.5,0,1,3.5,1.3,0.2,1,machasc01
43,Kendall Marshall,Nov 4 '12 PHO @ ORL,21,1,48,702,56,151,23,73,8,14,4,42,143,22,4,57,48,143,0.371,0.315,0.571,14.6,3,0.9,3,marshke01
44,Fab Melo,Feb 1 '13 BOS vs. ORL,22,1,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,0.5,,0.25,6,1.2,0.5,0,melofa01
45,Khris Middleton,Nov 10 '12 DET @ HOU,21,1,27,475,62,141,14,45,27,32,4,50,28,15,4,11,53,165,0.44,0.311,0.844,17.6,6.1,1.9,1,middlkh01
46,Darius Miller,Oct 31 '12 NOH vs. SAS,22,1,52,694,44,108,22,56,8,8,8,78,44,17,12,23,89,118,0.407,0.393,1,13.3,2.3,1.5,0.8,milleda01
47,Quincy Miller,Dec 16 '12 DEN @ SAC,20,1,7,26,4,12,0,1,1,2,1,2,3,1,0,1,3,9,0.333,0,0.5,3.7,1.3,0.3,0.4,millequ01
48,Donatas Motiejūnas,Nov 10 '12 HOU vs. DET,22,1,44,538,97,213,24,83,32,51,36,93,31,7,10,37,73,250,0.455,0.289,0.627,12.2,5.7,2.1,0.7,motiedo01
49,Arnett Moultrie,Nov 5 '12 PHI vs. NYK,22,1,47,542,78,134,0,0,18,28,76,145,10,17,10,19,43,174,0.582,,0.643,11.5,3.7,3.1,0.2,moultar01
50,Kevin Murphy,Oct 31 '12 UTA vs. DAL,22,1,17,52,7,28,1,5,0,0,0,4,2,1,0,3,4,15,0.25,0.2,,3.1,0.9,0.2,0.1,murphke01
51,Andrew Nicholson,Nov 2 '12 ORL vs. DEN,23,1,75,1249,256,486,0,0,75,94,69,258,44,24,32,79,133,587,0.527,,0.798,16.7,7.8,3.4,0.6,nichoan01
52,Kyle O'Quinn,Nov 2 '12 ORL vs. DEN,22,1,57,638,101,197,0,1,30,45,65,209,52,11,26,37,107,232,0.513,0,0.667,11.2,4.1,3.7,0.9,oquinky01
53,Tim Ohlbrecht,Mar 3 '13 HOU vs. DAL,24,1,3,12,1,3,0,0,1,1,0,1,1,1,0,4,1,3,0.333,,1,4,1,0.3,0.3,ohlbrti01
54,Miles Plumlee,Nov 5 '12 IND @ SAS,24,1,14,55,5,21,0,0,3,4,12,22,2,0,3,3,5,13,0.238,,0.75,3.9,0.9,1.6,0.1,plumlmi01
55,Pablo Prigioni,Nov 2 '12 NYK vs. MIA,35,1,78,1263,100,220,53,134,22,25,41,143,236,69,2,86,127,275,0.455,0.396,0.88,16.2,3.5,1.8,3,prigipa01
56,Austin Rivers,Oct 31 '12 NOH vs. SAS,20,1,61,1418,145,390,28,86,59,108,16,109,127,26,9,74,122,377,0.372,0.326,0.546,23.2,6.2,1.8,2.1,riverau01
57,Brian Roberts,Oct 31 '12 NOH vs. SAS,27,1,78,1324,213,511,59,153,70,77,17,97,219,37,3,71,108,555,0.417,0.386,0.909,17,7.1,1.2,2.8,roberbr01
58,Thomas Robinson,Oct 31 '12 SAC @ CHI,21,1,70,1056,138,321,0,1,57,109,122,315,46,41,26,88,124,333,0.43,0,0.523,15.1,4.8,4.5,0.7,robinth01
59,Terrence Ross,Oct 31 '12 TOR vs. IND,21,1,73,1239,186,457,65,196,30,42,35,144,53,43,14,48,122,467,0.407,0.332,0.714,17,6.4,2,0.7,rosste01
60,Robert Sacre,Oct 31 '12 LAL @ POR,23,1,32,203,18,48,0,0,7,11,9,34,6,0,10,10,38,43,0.375,,0.636,6.3,1.3,1.1,0.2,sacrero01
61,Mike Scott,Nov 11 '12 ATL @ LAC,24,1,40,376,70,147,0,1,43,56,39,110,12,4,2,21,32,183,0.476,0,0.768,9.4,4.6,2.8,0.3,scottmi01
62,Tornike Shengelia,Nov 7 '12 BRK @ MIA,21,1,19,93,10,23,1,2,9,16,9,23,3,3,1,11,11,30,0.435,0.5,0.563,4.9,1.6,1.2,0.2,shengto01
63,Alexey Shved,Nov 2 '12 MIN vs. SAC,24,1,77,1840,236,635,85,288,108,150,41,175,286,54,27,147,117,665,0.372,0.295,0.72,23.9,8.6,2.3,3.7,shvedal01
64,Henry Sims,Mar 4 '13 NOH vs. ORL,22,1,2,5,2,3,0,0,0,0,2,2,0,0,0,1,1,4,0.667,,,2.5,2,1,0,simshe01
65,Kyle Singler,Oct 31 '12 DET vs. HOU,24,1,82,2293,275,642,70,200,100,124,109,330,77,57,37,98,217,720,0.428,0.35,0.806,28,8.8,4,0.9,singlky01
66,Jared Sullinger,Oct 30 '12 BOS @ MIA,20,1,45,892,111,225,1,5,47,63,92,264,35,22,22,29,154,270,0.493,0.2,0.746,19.8,6,5.9,0.8,sullija01
67,Jeff Taylor,Nov 3 '12 CHA @ DAL,23,1,77,1507,172,399,53,154,75,103,51,150,63,47,15,48,136,472,0.431,0.344,0.728,19.6,6.1,1.9,0.8,tayloje03
68,Tyshawn Taylor,Nov 5 '12 BRK vs. MIN,22,1,38,221,32,87,6,13,15,27,2,18,21,13,0,25,25,85,0.368,0.462,0.556,5.8,2.2,0.5,0.6,tayloty01
69,Marquis Teague,Nov 2 '12 CHI @ CLE,19,1,48,392,43,113,4,23,9,16,3,44,63,9,7,35,47,99,0.381,0.174,0.563,8.2,2.1,0.9,1.3,teaguma01
70,Mirza Teletović,Nov 5 '12 BRK vs. MIN,27,1,53,499,71,185,37,108,9,11,33,95,23,13,8,20,53,188,0.384,0.343,0.818,9.4,3.5,1.8,0.4,teletmi01
71,Jonas Valančiūnas,Oct 31 '12 TOR vs. IND,20,1,62,1482,204,366,0,0,146,185,121,372,45,17,78,94,188,554,0.557,,0.789,23.9,8.9,6,0.7,valanjo01
72,Jarvis Varnado,Dec 25 '12 BOS @ BRK,24,1,13,58,3,7,0,0,2,4,2,9,3,1,2,6,10,8,0.429,,0.5,4.5,0.6,0.7,0.2,varnaja01
73,Dion Waiters,Oct 30 '12 CLE vs. WAS,21,1,61,1756,336,815,63,203,159,213,22,149,183,59,16,121,113,894,0.412,0.31,0.746,28.8,14.7,2.4,3,waitedi01
74,Maalik Wayns,Oct 31 '12 PHI vs. DEN,21,1,27,202,26,88,7,31,17,19,1,7,27,6,0,15,26,76,0.295,0.226,0.895,7.5,2.8,0.3,1,waynsma01
75,Chris Wright,Mar 15 '13 DAL vs. CLE,23,1,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0.5,,,1.3,0.7,0,0,wrighch02
76,Tony Wroten,Nov 7 '12 MEM @ MIL,19,1,35,272,33,86,4,16,21,29,13,28,43,8,4,29,34,91,0.384,0.25,0.724,7.8,2.6,0.8,1.2,wroteto01
77,Luke Zeller,Nov 4 '12 PHO @ ORL,25,1,16,58,9,26,1,5,0,0,1,10,3,0,0,0,5,19,0.346,0.2,,3.6,1.2,0.6,0.2,zellelu01
78,Tyler Zeller,Oct 30 '12 CLE vs. WAS,23,1,77,2033,245,559,0,4,120,157,159,438,96,35,70,95,251,610,0.438,0,0.764,26.4,7.9,5.7,1.2,zellety01
